Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DOMOVINSKI POKRET - DP, HRVATSKA STRANKA PRAVA - HSP, HRVATSKA SELJAÈKA STRANKA - HSS, DEMOKRATSKI HSS - DHSS, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA STRANKA UMIROVLJENIKA - HSU;KANDIDACIJSKA LISTA GRUPE BIRAÈA - TIHOMIR MIHALJ;MLADI ZA ÐAKOVO;MOST;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP;STRANKA UMIROVLJENIKA - SU
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;ÐAKOVO;001;ÐAKOVO;EKONOMSKA ŠKOLA BRAÆA RADIÆ, UÈIONICA 1;VIJENAC KARDINALA ALOJZIJA STEPINCA 11;515;212;212;205;7;38;65;6;4;17;19;49;7
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;ÐAKOVO;002;ÐAKOVO;EKONOMSKA ŠKOLA BRAÆA RADIÆ, UÈIONICA 2;VIJENAC KARDINALA ALOJZIJA STEPINCA 11;509;248;248;239;9;44;78;6;10;30;35;32;4
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;ÐAKOVO;003;ÐAKOVO;EKONOMSKA ŠKOLA BRAÆA RADIÆ, UÈIONICA 3;VIJENAC KARDINALA ALOJZIJA STEPINCA 11;587;227;227;220;7;50;62;8;19;12;24;38;7
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;ÐAKOVO;004;ÐAKOVO;MUZEJ ÐAKOVŠTINE;ANTE STARÈEVIÆA 34;732;344;344;334;10;61;84;6;13;20;52;86;12
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;ÐAKOVO;005;ÐAKOVO;POSLOVNI PROSTOR;ANTE STARÈEVIÆA 157;529;218;218;210;8;34;72;3;34;13;12;35;7
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;ÐAKOVO;006;ÐAKOVO;CENTAR ZA KULTURU;KRALJA TOMISLAVA 13;635;301;301;295;6;49;152;8;6;11;33;33;3
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;ÐAKOVO;007;ÐAKOVO;OSNOVNA ŠKOLA IVANA GORANA KOVAÈIÆA;KRALJA TOMISLAVA 25;481;215;215;205;10;35;71;2;7;24;20;44;2
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;ÐAKOVO;008;ÐAKOVO;OSNOVNA ŠKOLA JOSIPA ANTUNA ÆOLNIÆA, UÈIONICA 1;TRG NIKOLE ŠUBIÆA ZRINSKOG 4;687;292;292;282;10;48;111;8;13;21;34;40;7
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;ÐAKOVO;009;ÐAKOVO;OSNOVNA ŠKOLA JOSIPA ANTUNA ÆOLNIÆA, UÈIONICA 2;TRG NIKOLE ŠUBIÆA ZRINSKOG 4;916;425;425;410;15;47;175;18;41;27;51;45;6
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;ÐAKOVO;010;ÐAKOVO;UNIVERZAL D.O.O., PROSTORIJA 1;V.NAZORA 68;757;266;266;255;11;59;93;9;25;11;26;26;6
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;ÐAKOVO;011;ÐAKOVO;UNIVERZAL D.O.O., PROSTORIJA 2;V.NAZORA 68;624;228;228;221;7;41;86;3;22;27;12;28;2
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;ÐAKOVO;012;ÐAKOVO;HRVATSKA AGENCIJA ZA POLJOPRIVREDU I HRANU, URED U ÐAKOVU;V.NAZORA 1;449;180;180;178;2;28;71;2;9;11;26;30;1
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;ÐAKOVO;013;ÐAKOVO;POSLOVNI PROSTOR;I.G.KOVAÈIÆA 5;899;346;346;337;9;60;127;8;10;41;43;37;11
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;ÐAKOVO;014;ÐAKOVO;POSLOVNI PROSTOR;KRALJA TOMISLAVA 67;697;273;273;264;9;73;67;12;10;23;35;33;11
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;ÐAKOVO;015;ÐAKOVAÈKI PISAK;OSNOVNA ŠKOLA;ÐAKOVAÈKI PISAK;253;78;78;75;3;23;22;12;6;2;0;3;7
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;ÐAKOVO;016;ÐAKOVO;STARI DVD, PROSTORIJA I.;MATIJE GUPCA 30;488;212;210;203;7;45;65;12;10;12;20;27;12
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;ÐAKOVO;017;ÐAKOVO;STARI DVD, PROSTORIJA II.;MATIJE GUPCA 30;849;378;378;368;10;73;142;10;15;33;29;50;16
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;ÐAKOVO;018;ÐAKOVO;PROTUPOŽARNI CENTAR;SPLITSKA BB;591;236;236;225;11;49;58;3;6;37;21;42;9
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;ÐAKOVO;019;ÐAKOVO;CENTAR ZA SOCIJALNU SKRB;P.PRERADOVIÆA 2;517;187;187;177;10;31;38;14;13;16;21;35;9
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;ÐAKOVO;020;ÐAKOVO;HRVATSKI ZAVOD ZA ZDRAVSTVENO OSIGURANJE, PROSTORIJA 1;P.PRERADOVIÆA 15;833;310;310;298;12;78;82;8;12;40;47;25;6
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;ÐAKOVO;021;ÐAKOVO;HRVATSKI ZAVOD ZA ZDRAVSTVENO OSIGURANJE, PROSTORIJA 2;P.PRERADOVIÆA 15;611;265;265;263;2;56;94;5;10;22;31;37;8
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;ÐAKOVO;022;ÐAKOVO;UPRAVNA ZGRADA DOMA ZDRAVLJA;P.PRERADOVIÆA 2;833;345;345;331;14;79;110;5;20;27;32;52;6
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;ÐAKOVO;023;ÐAKOVO;ŠUMARIJA;J.PALMOTIÆA 18;992;380;380;366;14;74;136;6;10;31;39;51;19
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;ÐAKOVO;024;ÐAKOVO;"DJEÈJI VRTIÆ ""VILA"", PROSTORIJA 1";ÐAKOVO;746;317;317;309;8;68;135;4;10;17;37;29;9
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;ÐAKOVO;025;ÐAKOVO;"DJEÈJI VRTIÆ ""VILA"", PROSTORIJA 2";ÐAKOVO;788;403;403;391;12;69;152;14;13;42;51;43;7
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;ÐAKOVO;026;SELCI ÐAKOVAÈKI;OSNOVNA ŠKOLA ÐAKOVAÈKI SELCI, UÈIONICA 1;SELCI ÐAKOVAÈKI;839;306;306;300;6;69;148;2;26;23;19;9;4
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;ÐAKOVO;027;SELCI ÐAKOVAÈKI;OSNOVNA ŠKOLA ÐAKOVAÈKI SELCI, UÈIONICA 2;SELCI ÐAKOVAÈKI;662;244;244;239;5;48;90;8;40;22;12;15;4
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;ÐAKOVO;028;KUŠEVAC;PODRUÈNA OSNOVNA ŠKOLA JOSIPA ANTUNA ÆOLNIÆA;KUŠEVAC;892;415;415;409;6;60;233;3;49;34;8;12;10
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;ÐAKOVO;029;IVANOVCI ÐAKOVAÈKI;DOM DVD-A;IVANOVCI ÐAKOVAÈKI;481;202;202;196;6;23;83;0;6;68;5;10;1
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;ÐAKOVO;030;ŠIROKO POLJE;MJESNI DOM;ŠIROKO POLJE;838;422;421;408;13;99;226;4;27;16;8;18;10
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;ÐAKOVO;031;BUDROVCI;OSNOVNA ŠKOLA BUDROVCI, UÈIONICA 1;BUDROVCI;610;229;229;224;5;78;69;5;10;19;13;17;13
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;ÐAKOVO;032;BUDROVCI;OSNOVNA ŠKOLA BUDROVCI, UÈIONICA 2;BUDROVCI;428;155;155;152;3;53;68;0;4;10;5;9;3
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;ÐAKOVO;033;ÐURÐANCI;OSNOVNA ŠKOLA;ÐURÐANCI;355;141;141;136;5;36;68;3;5;6;10;4;4
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;ÐAKOVO;034;PIŠKOREVCI;OSNOVNA ŠKOLA MATIJA GUBEC, UÈIONICA 1;PIŠKOREVCI;782;313;312;300;12;77;113;7;54;10;11;17;11
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;ÐAKOVO;035;PIŠKOREVCI;OSNOVNA ŠKOLA MATIJA GUBEC, UÈIONICA 2;PIŠKOREVCI;808;336;336;329;7;90;127;6;42;21;21;14;8
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;ÐAKOVO;036;NOVI PERKOVCI;PODRUÈNA OSNOVNA ŠKOLA MATIJA GUBEC;NOVI PERKOVCI;194;101;101;96;5;21;61;1;4;5;1;1;2
