Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;MATIJA ĐUREKOVIĆ;ZORAN KOVAČEVIĆ;MARIJAN ZELENIĆ
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;KOŠKA;001;KOŠKA;ŠUMARIJA KOŠKA;UL. NIKOLE ŠUBIĆA ZRINSKOG 65;718;344;344;341;3;43;157;141
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;KOŠKA;002;KOŠKA;"OSNOVNA ŠKOLA ""IVANE BRLIĆ MAŽURANIĆ""";TRG DR. FRANJE TUĐMANA 5;595;303;303;299;4;31;142;126
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;KOŠKA;003;BREZNICA NAŠIČKA;PODRUČNA ŠKOLA;OSJEČKA BB;492;183;183;179;4;37;116;26
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;KOŠKA;004;NIZA;PODRUČNA ŠKOLA;KOLODVORSKA 52;353;150;150;146;4;25;85;36
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;KOŠKA;005;NORMANCI;DRUŠTVENI DOM;ALOJZIJA STEPINCA BB;252;73;73;71;2;6;50;15
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;KOŠKA;006;TOPOLINE;DRUŠTVENI DOM;KOLODVORSKA 20;117;87;87;87;0;1;58;28
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;KOŠKA;007;LUG SUBOTIČKI;DRUŠTVENI DOM;BRAĆE RADIĆA 41;254;101;101;99;2;11;74;14
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;KOŠKA;008;LEDENIK;DRUŠTVENI DOM;KRALJA ZVONIMIRA 18;137;61;61;59;2;6;41;12
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;KOŠKA;009;ANDRIJEVAC;DRUŠTVENI DOM;BRAĆE RADIĆA 2;93;41;41;40;1;5;31;4
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;KOŠKA;010;BRANIMIROVAC;DRUŠTVENI DOM;BANA JELAČIĆA 3;68;15;15;15;0;4;9;2
