Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;VLADIMIR HAM;KATARINA KRUHONJA;GORAN KUŠEC;BERISLAV MLINAREVIĆ;IVAN RADIĆ;VLADIMIR ŠIŠLJAGIĆ;MIROSLAV VANEK
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;001;OSIJEK;DVD RETFALA;ULICA ŠÁNDORA PETÖFIA 1;1112;423;423;410;13;29;15;80;87;147;43;9
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;002;OSIJEK;DVD RETFALA;ULICA ŠÁNDORA PETÖFIA 1;743;268;268;262;6;13;5;44;60;92;28;20
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;003;OSIJEK;MAĐARSKO KULTURNO DRUŠTVO NEPKÖR;ULICA ŠÁNDORA PETÖFIA 76;724;316;316;314;2;19;23;63;72;95;33;9
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;004;OSIJEK;"DJEČJI VRTIĆ ""SUNČICA""";KOLODVORSKA 61A;1069;463;463;454;9;36;12;67;101;188;40;10
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;005;OSIJEK;"OSNOVNA ŠKOLA ""RETFALA""";KAPELSKA ULICA 51A;1106;481;481;468;13;25;17;81;134;168;30;13
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;006;OSIJEK;"OSNOVNA ŠKOLA ""RETFALA""";KAPELSKA ULICA 51A;910;413;413;402;11;13;14;74;90;169;35;7
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;007;OSIJEK;OSNOVNA ŠKOLA IVANA FILIPOVIĆA;KALNIČKA 48;996;348;348;338;10;14;15;74;90;105;29;11
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;008;OSIJEK;OSNOVNA ŠKOLA IVANA FILIPOVIĆA;KALNIČKA 48;903;336;336;329;7;15;14;51;61;152;28;8
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;009;OSIJEK;OSNOVNA ŠKOLA IVANA FILIPOVIĆA;KALNIČKA 48;906;357;357;350;7;20;26;64;60;137;33;10
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;010;OSIJEK;GRADSKA ČETVRT RETFALA;ULICA LJUDEVITA POSAVSKOG 14A;708;266;266;258;8;21;11;37;47;116;23;3
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;011;OSIJEK;GRADSKA ČETVRT RETFALA;ŠOKAČKA ULICA 1;714;296;296;285;11;12;9;54;50;129;22;9
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;012;OSIJEK;GRADSKA ČETVRT RETFALA;JOSIPA JURJA STROSSMAYERA 200;776;288;288;281;7;11;10;63;76;91;23;7
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;013;OSIJEK;GRADSKA ČETVRT RETFALA;JOSIPA JURJA STROSSMAYERA 200;661;231;231;228;3;12;12;44;42;89;21;8
