Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA STRANKA UMIROVLJENIKA - HSU;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS;KANDIDACIJSKA LISTA GRUPE BIRAČA -  MATKO ŠUTALO;KANDIDACIJSKA LISTA GRUPE BIRAČA -  MARKO TOMOKOVIĆ
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;VALPOVO;001;VALPOVO;ŠUMARIJA VALPOVO;ULICA BANA JOSIPA JELAČIĆA 4;582;297;297;294;3;7;80;14;17;169;7
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;VALPOVO;002;VALPOVO;DVORAC D.O.O. VALPOVO;MATIJE ANTUNA RELJKOVIĆA 16;586;316;315;311;4;11;88;5;21;169;17
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;VALPOVO;003;VALPOVO;SREDNJA ŠKOLA VALPOVO;ULICA DR. FRANJE TUĐMANA 2;606;361;361;353;8;10;72;11;25;226;9
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;VALPOVO;004;VALPOVO;DOM TEHNIKE VALPOVO, ULAZ 1;BRAĆE RADIĆA 34;697;342;342;340;2;15;90;11;22;194;8
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;VALPOVO;005;VALPOVO;"OSNOVNA ŠKOLA ""MATIJE PETRA KATANČIĆA""";IVE LOLE RIBARA 3;739;359;359;349;10;12;93;8;27;196;13
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;VALPOVO;006;VALPOVO;GRADSKA KNJIŽNICA I ČITAONICA;ULICA JOSIPA JURJA STROSSMAYERA 36;632;329;329;324;5;14;92;8;37;170;3
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;VALPOVO;007;VALPOVO;DOM TEHNIKE VALPOVO, ULAZ 2;BRAĆE RADIĆA 34;770;353;353;344;9;21;86;7;16;207;7
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;VALPOVO;008;VALPOVO;VATROGASNI DOM VALPOVO;MATIJE GUPCA 50;676;274;273;269;4;17;85;12;11;138;6
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;VALPOVO;009;VALPOVO;HAK;MATIJE GUPCA 48;677;382;382;375;7;20;101;12;24;207;11
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;VALPOVO;010;LADIMIREVCI;OSNOVNA ŠKOLA LADIMIREVCI;ĐUKE MARIČIĆA-MUNJE 21;586;296;296;290;6;47;101;13;8;106;15
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;VALPOVO;011;LADIMIREVCI;SPORTSKA DVORANA OŠ LADIMIREVCI;ĐUKE MARIČIĆA - MUNJE 21;585;275;275;270;5;28;109;5;10;107;11
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;VALPOVO;012;MARJANČACI;DRUŠTVENI DOM MARJANČACI;MATIJE GUPCA 18;229;159;159;156;3;6;62;3;3;82;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;VALPOVO;013;IVANOVCI;DRUŠTVENI DOM IVANOVCI;PETRA PRERADOVIĆA 58;353;210;210;210;0;13;86;8;8;93;2
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;VALPOVO;014;ZELČIN;DRUŠTVENI DOM ZELČIN;OSLOBOĐENJA 9;251;166;166;164;2;8;99;4;6;45;2
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;VALPOVO;015;HARKANOVCI;OSNOVNA ŠKOLA HARKANOVCI;ŠKOLSKA 6;379;203;203;193;10;12;87;10;4;74;6
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;VALPOVO;016;ŠAG;OSNOVNA ŠKOLA ŠAG;BRAĆE RADIĆA 67;346;176;176;172;4;6;91;6;3;64;2
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;VALPOVO;017;NARD;OSNOVNA ŠKOLA;VALPOVAČKA 27;400;244;244;242;2;11;95;15;3;117;1
