Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;MIRJANA ADRIĆ;MARKO BERBEROVIĆ;IRENA GLUHAK FOREMPOHER;DANKO KOČIŠ;MARIN MANDARIĆ;TIHOMIR MIHALJ
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;001;ĐAKOVO;EKONOMSKA ŠKOLA BRAĆA RADIĆ, UČIONICA 1;VIJENAC KARDINALA ALOJZIJA STEPINCA 11;515;212;212;209;3;50;10;24;41;78;6
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;002;ĐAKOVO;EKONOMSKA ŠKOLA BRAĆA RADIĆ, UČIONICA 2;VIJENAC KARDINALA ALOJZIJA STEPINCA 11;509;248;248;241;7;56;22;37;30;88;8
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;003;ĐAKOVO;EKONOMSKA ŠKOLA BRAĆA RADIĆ, UČIONICA 3;VIJENAC KARDINALA ALOJZIJA STEPINCA 11;587;227;227;223;4;57;9;27;37;73;20
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;004;ĐAKOVO;MUZEJ ĐAKOVŠTINE;ANTE STARČEVIĆA 34;732;344;344;335;9;63;14;68;80;99;11
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;005;ĐAKOVO;POSLOVNI PROSTOR;ANTE STARČEVIĆA 157;529;218;218;208;10;40;12;17;29;67;43
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;006;ĐAKOVO;CENTAR ZA KULTURU;KRALJA TOMISLAVA 13;635;301;301;294;7;51;6;40;30;157;10
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;007;ĐAKOVO;OSNOVNA ŠKOLA IVANA GORANA KOVAČIĆA;KRALJA TOMISLAVA 25;481;215;215;211;4;40;15;32;48;71;5
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;008;ĐAKOVO;OSNOVNA ŠKOLA JOSIPA ANTUNA ĆOLNIĆA, UČIONICA 1;TRG NIKOLE ŠUBIĆA ZRINSKOG 4;687;292;292;279;13;44;14;42;38;121;20
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;009;ĐAKOVO;OSNOVNA ŠKOLA JOSIPA ANTUNA ĆOLNIĆA, UČIONICA 2;TRG NIKOLE ŠUBIĆA ZRINSKOG 4;916;425;425;409;16;62;17;53;52;181;44
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;010;ĐAKOVO;UNIVERZAL D.O.O., PROSTORIJA 1;V.NAZORA 68;757;266;266;258;8;72;7;22;26;100;31
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;011;ĐAKOVO;UNIVERZAL D.O.O., PROSTORIJA 2;V.NAZORA 68;624;228;228;220;8;49;14;19;20;91;27
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;012;ĐAKOVO;HRVATSKA AGENCIJA ZA POLJOPRIVREDU I HRANU, URED U ĐAKOVU;V.NAZORA 1;449;180;180;176;4;29;8;26;33;69;11
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;013;ĐAKOVO;POSLOVNI PROSTOR;I.G.KOVAČIĆA 5;899;346;346;340;6;74;32;45;38;136;15
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;014;ĐAKOVO;POSLOVNI PROSTOR;KRALJA TOMISLAVA 67;697;273;273;266;7;87;15;35;27;86;16
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;015;ĐAKOVAČKI PISAK;OSNOVNA ŠKOLA;ĐAKOVAČKI PISAK;253;78;78;75;3;36;2;1;6;22;8
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;016;ĐAKOVO;STARI DVD, PROSTORIJA I.;MATIJE GUPCA 30;488;209;209;201;8;53;9;26;30;72;11
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;017;ĐAKOVO;STARI DVD, PROSTORIJA II.;MATIJE GUPCA 30;849;378;378;367;11;98;21;33;44;154;17
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;018;ĐAKOVO;PROTUPOŽARNI CENTAR;SPLITSKA BB;591;236;236;228;8;68;11;35;42;63;9
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;019;ĐAKOVO;CENTAR ZA SOCIJALNU SKRB;P.PRERADOVIĆA 2;517;187;187;177;10;46;14;23;29;50;15
