Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DINKO BURIĆ;MIHAEL SUČIĆ
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;001;BELIŠĆE;GLAZBENA ŠKOLA;VIJENAC DR. FRANJE TUĐMANA 3;750;335;335;327;8;277;50
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;002;BELIŠĆE;DOM UMIROVLJENIKA;VIJENAC JOSIPA JURJA STROSSMAYERA 67;788;371;371;352;19;296;56
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;003;BELIŠĆE;OSNOVNA ŠKOLA IVANA KUKULJEVIĆA;ULICA KRALJA TOMISLAVA 196;889;361;361;352;9;296;56
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;004;BELIŠĆE;OSNOVNA ŠKOLA IVANA KUKULJEVIĆA;ULICA KRALJA TOMISLAVA 196;941;413;413;395;18;336;59
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;005;BELIŠĆE;VATROGASNO SPREMIŠTE;ŽELJEZNIČKA 11;950;374;374;360;14;302;58
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;006;BELIŠĆE;"DJEČJI VRTIĆ ""MASLAČAK""";VIJENAC DR. FRANJE TUĐMANA 2;875;343;343;329;14;279;50
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;007;BISTRINCI;RIBIČKI DOM;BISTRINCI;624;257;257;249;8;215;34
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;008;BISTRINCI;"NOGOMETNI KLUB ""PODRAVAC""";FISKULTURNA 35;642;215;215;203;12;166;37
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;009;BOCANJEVCI;HRVATSKI DOM;MATIJE GUPCA 73;348;192;192;190;2;126;64
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;010;GAT;DRUŠTVENI DOM;KOLODVORSKA ULICA 47;554;245;245;240;5;220;20
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;011;GORICA VALPOVAČKA;DRUŠTVENI DOM;STJEPANA RADIĆA 44;132;70;70;65;5;51;14
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;012;KITIŠANCI;DOM HRVATSKE MLADEŽI;NOVA 22;141;71;71;70;1;57;13
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;013;TIBORJANCI;HRVATSKI DOM;BRAĆE RADIĆA 2;234;136;136;135;1;77;58
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;014;VELIŠKOVCI;OSNOVNA ŠKOLA;ULICA KRALJA TOMISLAVA 76;532;234;234;230;4;182;48
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;015;VINOGRADCI;OSNOVNA ŠKOLA;KRALJA TOMISLAVA 28;206;112;112;106;6;80;26
