Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;LJILJANA GRBIĆ
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;PODGORAČ;001;PODGORAČ;OSNOVNA ŠKOLA HINKA JUHNA;PODGORAČ;1;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;PODGORAČ;002;PODGORAČ;OPĆINA PODGORAČ;PODGORAČ;9;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;PODGORAČ;003;OSTROŠINCI;DRUŠTVENI DOM;OSTROŠINCI;10;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;PODGORAČ;004;RAZBOJIŠTE;VATROGASNI DOM;RAZBOJIŠTE;3;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;PODGORAČ;005;STIPANOVCI;VATROGASNI DOM;STIPANOVCI;6;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;PODGORAČ;006;KRŠINCI;STARA ŠKOLA;KRŠINCI;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;PODGORAČ;007;KELEŠINKA;VATROGASNI DOM;KELEŠINKA;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;PODGORAČ;008;BIJELA LOZA;DRUŠTVENI DOM;BIJELA LOZA;61;34;34;32;2;32
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;PODGORAČ;009;BUDIMCI;OSNOVNA ŠKOLA HINKA JUHNA;BUDIMCI;149;67;67;61;6;61
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;PODGORAČ;010;POGANOVCI;OSNOVNA ŠKOLA HINKA JUHNA;POGANOVCI;50;21;21;21;0;21
