Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;KANDIDACIJSKA LISTA GRUPE BIRAČA -  DINKO BURIĆ;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA STRANKA PRAVA - HSP;HRVATSKA STRANKA UMIROVLJENIKA - HSU;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;001;BELIŠĆE;GLAZBENA ŠKOLA;VIJENAC DR. FRANJE TUĐMANA 3;750;335;335;331;4;204;17;42;10;24;34
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;002;BELIŠĆE;DOM UMIROVLJENIKA;VIJENAC JOSIPA JURJA STROSSMAYERA 67;788;370;370;356;14;222;7;43;16;23;45
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;003;BELIŠĆE;OSNOVNA ŠKOLA IVANA KUKULJEVIĆA;ULICA KRALJA TOMISLAVA 196;889;361;361;354;7;238;12;40;10;25;29
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;004;BELIŠĆE;OSNOVNA ŠKOLA IVANA KUKULJEVIĆA;ULICA KRALJA TOMISLAVA 196;941;413;413;405;8;236;21;58;16;28;46
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;005;BELIŠĆE;VATROGASNO SPREMIŠTE;ŽELJEZNIČKA 11;950;374;374;361;13;221;30;48;7;29;26
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;006;BELIŠĆE;"DJEČJI VRTIĆ ""MASLAČAK""";VIJENAC DR. FRANJE TUĐMANA 2;875;343;342;330;12;203;15;40;9;32;31
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;007;BISTRINCI;RIBIČKI DOM;BISTRINCI;624;256;256;245;11;186;6;30;6;11;6
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;008;BISTRINCI;"NOGOMETNI KLUB ""PODRAVAC""";FISKULTURNA 35;642;215;215;209;6;131;16;32;2;13;15
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;009;BOCANJEVCI;HRVATSKI DOM;MATIJE GUPCA 73;348;192;192;185;7;113;3;64;1;2;2
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;010;GAT;DRUŠTVENI DOM;KOLODVORSKA ULICA 47;554;245;245;240;5;185;12;29;1;9;4
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;011;GORICA VALPOVAČKA;DRUŠTVENI DOM;STJEPANA RADIĆA 44;132;69;69;63;6;43;4;14;0;1;1
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;012;KITIŠANCI;DOM HRVATSKE MLADEŽI;NOVA 22;141;71;71;71;0;51;1;13;1;4;1
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;013;TIBORJANCI;HRVATSKI DOM;BRAĆE RADIĆA 2;234;136;136;136;0;56;13;53;2;7;5
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;014;VELIŠKOVCI;OSNOVNA ŠKOLA;ULICA KRALJA TOMISLAVA 76;532;233;233;230;3;146;19;54;2;9;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;015;VINOGRADCI;OSNOVNA ŠKOLA;KRALJA TOMISLAVA 28;206;111;111;109;2;61;17;28;0;2;1
