Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;SLAVKO DEŠIĆ;ŽELJKO FABRIC;TOMISLAV HARŠANJI
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;DRENJE;001;BUČJE GORJANSKO;MJESNI ODBOR BUČJE;GLAVNA ULICA 15;52;31;31;30;1;20;3;7
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;DRENJE;002;PODGORJE BRAČEVAČKO;MJESNI DOM;BOROVIČKA ULICA 102;60;37;37;36;1;31;2;3
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;DRENJE;003;SLATINIK DRENJSKI;DVD SLATINIK DRENJSKI;B.RADIĆA 2;205;127;127;126;1;42;38;46
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;DRENJE;004;BRAČEVCI;MJESNI ODBOR;ULICA VUKOVARSKA 4;154;75;75;71;4;43;13;15
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;DRENJE;005;PALJEVINA;MJESNI DOM;VLADIMIRA  NAZORA 52;142;76;76;76;0;53;11;12
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;DRENJE;006;POTNJANI;MJESNI DOM;BRAĆE RADIĆA 39;396;224;224;222;2;160;9;53
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;DRENJE;007;DRENJE;ZGRADA OPĆINE DRENJE;LJUDEVITA GAJA 25;465;285;285;283;2;87;109;87
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;DRENJE;008;KUĆANCI ĐAKOVAČKI;PROSTORIJE PODRUČNE ŠKOLE KUĆANCI ĐAKOVAČKI;BRAĆE RADIĆA 28;125;65;65;63;2;31;4;28
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;DRENJE;009;PRESLATINCI;DVD PRESLATINCI;K. TOMISLAVA 18;110;72;72;68;4;48;4;16
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;DRENJE;010;MANDIĆEVAC;PROSTORIJE PODRUČNE ŠKOLE MANDIĆEVAC;ŠKOLSKA 1;224;136;136;135;1;101;6;28
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;DRENJE;011;PRIDVORJE;PROSTORIJE PODRUČNE ŠKOLE PRIDVORJE;BRAĆE RADIĆA 17;134;71;71;71;0;37;11;23
