Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA STRANKA PRAVA - HSP, HRVATSKA STRANKA UMIROVLJENIKA - HSU;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA SELJAČKA STRANKA - HSS
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;001;NAŠICE;KLUB CRVENOG KRIŽA NAŠICE;PETRA PRERADOVIĆA 2;1081;495;495;487;8;64;208;5;210
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;002;NAŠICE;GRADSKO DRUŠTVO CRVENOG KRIŽA NAŠICE;UL. KRALJA TOMISLAVA 6;479;235;235;228;7;44;118;1;65
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;003;NAŠICE;DOM HRVATSKE VOJSKE;TRG DR. FRANJE TUĐMANA 16;377;203;203;198;5;29;85;9;75
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;004;NAŠICE;"PROSTORIJE ""ELEKTROSLAVONIJE""";NAŠICE;451;228;228;224;4;30;97;6;91
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;005;NAŠICE;PROSTORIJE GRADSKE UDRUGE UMIROVLJENIKA;SOKOLSKA ULICA 2 (DVORIŠTE ZGRADE);758;397;397;382;15;56;154;8;164
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;006;NAŠICE;"PROSTORIJE ŠAHOVSKOG KLUBA ""SLAVONAC""";ULICA JOSIPA JURJA STROSSMAYERA 9;510;222;222;216;6;33;93;10;80
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;007;NAŠICE;OSNOVNA ŠKOLA KRALJA TOMISLAVA;ULICA MATICE HRVATSKE 1;804;379;379;371;8;80;164;4;123
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;008;NAŠICE;"PROSTORIJE ""NAŠIČKI VODOVOD"" D.O.O.";VATROSLAVA LISINSKOG 63;222;93;93;92;1;11;56;1;24
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;009;NAŠICE;"PROSTORIJE NK ""RADNIK"" ŠIPOVAC";NAŠICE;303;121;121;118;3;18;59;5;36
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;010;NAŠICE;PREDVORJE SREDNJE ŠKOLE;NAŠICE;620;335;335;329;6;54;149;5;121
