Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;SAMIR HAJ BARAKAT;KREŠIMIR KAŠUBA;SILVA MIŠKULIN
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;001;NAŠICE;KLUB CRVENOG KRIŽA NAŠICE;PETRA PRERADOVIĆA 2;1081;495;494;489;5;229;216;44
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;002;NAŠICE;GRADSKO DRUŠTVO CRVENOG KRIŽA NAŠICE;UL. KRALJA TOMISLAVA 6;479;235;235;233;2;74;119;40
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;003;NAŠICE;DOM HRVATSKE VOJSKE;TRG DR. FRANJE TUĐMANA 16;377;203;203;201;2;91;91;19
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;004;NAŠICE;"PROSTORIJE ""ELEKTROSLAVONIJE""";NAŠICE;451;228;228;226;2;95;103;28
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;005;NAŠICE;PROSTORIJE GRADSKE UDRUGE UMIROVLJENIKA;SOKOLSKA ULICA 2 (DVORIŠTE ZGRADE);758;397;397;387;10;174;162;51
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;006;NAŠICE;"PROSTORIJE ŠAHOVSKOG KLUBA ""SLAVONAC""";ULICA JOSIPA JURJA STROSSMAYERA 9;510;222;222;218;4;94;97;27
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;007;NAŠICE;OSNOVNA ŠKOLA KRALJA TOMISLAVA;ULICA MATICE HRVATSKE 1;804;379;379;371;8;133;175;63
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;008;NAŠICE;"PROSTORIJE ""NAŠIČKI VODOVOD"" D.O.O.";VATROSLAVA LISINSKOG 63;222;93;93;92;1;25;57;10
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;009;NAŠICE;"PROSTORIJE NK ""RADNIK"" ŠIPOVAC";NAŠICE;303;127;127;124;3;41;69;14
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;010;NAŠICE;PREDVORJE SREDNJE ŠKOLE;NAŠICE;620;335;335;331;4;134;162;35
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;011;NAŠICE;VIŠENAMJENSKA DVORANA SREDNJE ŠKOLE;NAŠICE;1083;506;506;496;10;195;224;77
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;012;MARKOVAC NAŠIČKI;"PROSTORIJE SLOVAČKO KULTURNO UMJETNIČKE UDRUGE ""FRANJO STRAPAČ""";MARKOVAC NAŠIČKI;697;320;320;320;0;112;140;68
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;013;MARKOVAC NAŠIČKI;PROSTORIJE DOBROVOLJNOG VATROGASNOG DRUŠTVA MARKOVAC NAŠIČKI;MARKOVAC NAŠIČKI;578;213;213;210;3;71;111;28
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;014;JELISAVAC;OSNOVNA ŠKOLA IVANA BRNJIKA SLOVAKA;JELISAVAC;725;310;310;303;7;136;144;23
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;015;JELISAVAC;KULTURNI CENTAR SLOVAKA;JELISAVAC;292;116;116;114;2;39;64;11
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;016;LAĐANSKA;OSNOVNA ŠKOLA;LAĐANSKA;226;110;110;109;1;15;83;11
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;017;LILA;DRUŠTVENI DOM;LILA;191;117;117;116;1;19;86;11
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;NAŠICE;018;VELIMIROVAC;OSNOVNA ŠKOLA;VELIMIROVAC;910;376;376;369;7;114;238;17
