Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;MARKO ĆORIĆ;IVO DUJMIĆ;FERNANDO KIRIGIN;NEVA SLANI;ALEN SRŠEN;ANTE ŠTAMPALIJA
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;001;OPATIJA;(PROSTORIJE MJESNOG ODBORA OPATIJA - TOŠINA);GIUSEPPE VERDI 23;839;402;402;393;9;17;128;135;73;17;23
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;002;OPATIJA;DOM LIBURNIJA (PROSTORIJE MOHO CENTRA);ANDRIJE ŠTANGERA 48;635;337;337;334;3;25;106;115;69;10;9
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;003;OPATIJA;(PROSTORIJE MJESNOG ODBORA  OPATIJA - KOSOVO);KOSIĆEVO 7;823;413;413;405;8;44;136;132;49;18;26
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;004;POBRI;(PROSTORIJE MJESNOG ODBORA POBRI);POBARSKA CESTA 3;1035;388;388;384;4;42;140;136;44;7;15
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;005;IKA;(DRUŠTVENI DOM IKA, PROSTORIJE MJESNOG ODBORA IKA);PRIMORSKA ULICA BB;1001;494;494;481;13;36;249;96;62;18;20
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;006;DOBREĆ;(ŠKOLA, PROSTORIJE MJESNOG ODBORA DOBREĆ);DOBREĆ BR. 20/C;352;153;153;151;2;9;92;24;18;1;7
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;007;VEPRINAC;(ETNO ZBIRKA VEPRINAC);VEPRINAC - STARI GRAD 5;936;438;437;429;8;21;227;107;53;3;18
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;008;POLJANE;(DRUŠTVENI DOM, PROSTORIJE MJESNOG ODBORA POLJANE);POLJANE 67;501;264;264;262;2;15;130;83;27;1;6
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;009;IČIĆI;(OSNOVNA ŠKOLA, PROSTORIJE MJESNOG ODBORA IČIĆI);LIBURNIJSKA CESTA 30;788;392;392;387;5;17;180;103;46;8;33
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;010;OPATIJA;(PROSTORIJE DJEČJEG VRTIĆA PUNTA KOLOVA);ANTONA MIHIĆA 5/A;404;194;194;190;4;17;75;26;65;0;7
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;011;OPATIJA;(VILLA ANTONIO MEĐUNARODNI CENTAR ZA OBRAZOVANJE NOVINARA);NAZOROVA  BR. 2;909;462;462;456;6;39;110;160;102;8;37
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;012;OPATIJA;(PROSTORIJE MJESNOG ODBORA);J. RAKOVCA 15;604;292;292;289;3;41;69;95;69;3;12
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;013;OPATIJA;(PROSTORIJE MJESNOG ODBORA OPATIJA-CENTAR II);VRUTKI 6;849;368;368;365;3;26;107;108;83;7;34
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;014;OPATIJA;(GRADSKA VIJEĆNICA);M. TITA 3;681;345;345;344;1;37;95;128;59;7;18
