Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;AKCIJA MLADIH - AM, UNIJA KVARNERA - UNIJA;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  IVO DUJMIÆ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA STRANKA UMIROVLJENIKA - HSU;ISTARSKI DEMOKRATSKI SABOR - IDS, KVARNERSKA INICIJATIVA - REGIONALNA PLATFORMA - KVARNERSKA;NARODNA STRANKA - REFORMISTI - REFORMISTI;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  ALEN SRŠEN
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;001;OPATIJA;(PROSTORIJE MJESNOG ODBORA OPATIJA - TOŠINA);GIUSEPPE VERDI 23;839;402;402;399;3;80;95;24;25;30;6;121;18
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;002;OPATIJA;DOM LIBURNIJA (PROSTORIJE MOHO CENTRA);ANDRIJE ŠTANGERA 48;635;337;337;332;5;85;74;33;12;16;3;95;14
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;003;OPATIJA;(PROSTORIJE MJESNOG ODBORA  OPATIJA - KOSOVO);KOSIÆEVO 7;823;412;412;400;12;64;94;48;21;27;2;127;17
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;004;POBRI;(PROSTORIJE MJESNOG ODBORA POBRI);POBARSKA CESTA 3;1035;388;388;384;4;53;101;41;26;17;7;130;9
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;005;IKA;(DRUŠTVENI DOM IKA, PROSTORIJE MJESNOG ODBORA IKA);PRIMORSKA ULICA BB;1001;493;493;482;11;80;187;45;15;44;2;95;14
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;006;DOBREÆ;(ŠKOLA, PROSTORIJE MJESNOG ODBORA DOBREÆ);DOBREÆ BR. 20/C;352;153;153;149;4;24;66;12;6;11;1;25;4
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;007;VEPRINAC;(ETNO ZBIRKA VEPRINAC);VEPRINAC - STARI GRAD 5;936;438;437;431;6;73;209;23;6;22;10;85;3
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;008;POLJANE;(DRUŠTVENI DOM, PROSTORIJE MJESNOG ODBORA POLJANE);POLJANE 67;501;261;261;253;8;38;99;19;5;12;0;79;1
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;009;IÈIÆI;(OSNOVNA ŠKOLA, PROSTORIJE MJESNOG ODBORA IÈIÆI);LIBURNIJSKA CESTA 30;788;391;391;387;4;64;140;25;3;54;3;90;8
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;010;OPATIJA;(PROSTORIJE DJEÈJEG VRTIÆA PUNTA KOLOVA);ANTONA MIHIÆA 5/A;405;194;194;190;4;66;50;25;2;11;5;28;3
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;011;OPATIJA;(VILLA ANTONIO MEÐUNARODNI CENTAR ZA OBRAZOVANJE NOVINARA);NAZOROVA  BR. 2;909;462;462;450;12;115;86;40;28;34;11;124;12
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;012;OPATIJA;(PROSTORIJE MJESNOG ODBORA);J. RAKOVCA 15;604;292;292;288;4;83;39;57;13;13;2;79;2
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;013;OPATIJA;(PROSTORIJE MJESNOG ODBORA OPATIJA-CENTAR II);VRUTKI 6;849;368;368;364;4;99;69;33;25;40;5;84;9
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;014;OPATIJA;(GRADSKA VIJEÆNICA);M. TITA 3;681;345;344;343;1;67;77;41;27;22;1;101;7
