Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;AKCIJA MLADIH - AM;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  ANTONIO BONIÆ;KANDIDACIJSKA LISTA GRUPE BIRAÈA - KRISTIAN BUŠIÆ;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  DUBRAVKO DEVÈIÆ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS, STRANKA UMIROVLJENIKA - SU, HRVATSKA SELJAÈKA STRANKA - HSS;HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;HRVATSKI SUVERENISTI, HRAST - POKRET ZA USPJEŠNU HRVATSKU;ISTARSKI DEMOKRATSKI SABOR - IDS, PRIMORSKO GORANSKI SAVEZ - PGS, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, UNIJA KVARNERA - UNIJA;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  JOSIP MAGAŠIÆ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKI LABURISTI - STRANKA RADA - LABURISTI, HRVATSKA STRANKA UMIROVLJENIKA - HSU
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;001;MALI LOŠINJ;GRAD MALI LOŠINJ;MALI LOŠINJ, RIVA LOŠINJSKIH KAPETANA 7;873;469;469;455;14;30;17;37;70;141;28;20;42;8;62
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;002;MALI LOŠINJ;MUZEJ APOKSIOMENA;MALI LOŠINJ, RIVA LOŠINJSKIH KAPETANA 13;814;428;428;420;8;38;11;22;91;99;23;14;35;2;85
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;003;MALI LOŠINJ;VODOOPSKRBA I ODVODNJA CRES LOŠINJ D.O.O.;MALI LOŠINJ, TRG ŽRTAVA FAŠIZMA 6;1042;628;628;614;14;59;21;18;151;149;45;30;27;10;104
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;004;MALI LOŠINJ;UDRUGA UMIROVLJENIKA GRADA MALOG LOŠINJA;MALI LOŠINJ, BRAÆE IVANA I STJEPANA VIDULIÆA 14;1427;796;795;777;18;61;17;24;131;226;34;61;61;20;142
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;005;MALI LOŠINJ;POSLOVNI PROSTOR BIVŠE POSLOVNICE OTP BANKE;MALI LOŠINJ, CRESKA 3;1145;649;649;638;11;36;9;22;115;199;14;40;51;12;140
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;006;VELI LOŠINJ;PROSTORIJA MJESNOG ODBORA;VELI LOŠINJ, OBALA MARŠALA TITA 36;819;455;455;443;12;11;86;6;63;63;17;11;26;81;79
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;007;ILOVIK;ILOVIK - PROSTORIJA MJESNOG ODBORA;ILOVIK;135;59;59;57;2;1;4;0;8;14;5;3;7;4;11
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;008;SUSAK;SUSAK - PROSTORIJE MJESNOG ODBORA - DOM ISELJENIKA;SUSAK;257;75;75;75;0;2;1;0;6;38;4;3;10;2;9
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;009;UNIJE;UNIJE - PROSTORIJA OSNOVNE ŠKOLE;UNIJE;117;36;36;35;1;2;0;0;1;10;1;1;10;2;8
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;010;ÆUNSKI;ÆUNSKI - PROSTORIJE MJESNOG ODBORA;ÆUNSKI BR. 23;312;168;168;165;3;10;11;5;25;40;13;14;5;3;39
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;011;NEREZINE;"NEREZINE - PROSTORIJA ""GRADSKE VIJEÆNICE""";NEREZINE, TRG STUDENAC;532;283;283;283;0;11;1;3;36;40;24;12;91;6;59
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;012;PUNTA KRIŽA;PUNTA KRIŽA - PROSTORIJA OSNOVNE ŠKOLE;PUNTA KRIŽA;65;35;35;34;1;1;1;0;3;11;2;2;1;1;12
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;013;BELEJ;"BELEJ - PROSTORIJA ""ZADRUŽNOG DOMA""";BELEJ;81;52;52;50;2;2;2;2;9;10;6;0;5;0;14
