Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DUBRAVKO DEVÈIÆ;MARIO FRANKOVIÆ;ANA KUÈIÆ
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;001;MALI LOŠINJ;GRAD MALI LOŠINJ;MALI LOŠINJ, RIVA LOŠINJSKIH KAPETANA 7;873;469;469;459;10;99;106;254
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;002;MALI LOŠINJ;MUZEJ APOKSIOMENA;MALI LOŠINJ, RIVA LOŠINJSKIH KAPETANA 13;814;428;428;428;0;114;111;203
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;003;MALI LOŠINJ;VODOOPSKRBA I ODVODNJA CRES LOŠINJ D.O.O.;MALI LOŠINJ, TRG ŽRTAVA FAŠIZMA 6;1042;628;628;616;12;192;168;256
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;004;MALI LOŠINJ;UDRUGA UMIROVLJENIKA GRADA MALOG LOŠINJA;MALI LOŠINJ, BRAÆE IVANA I STJEPANA VIDULIÆA 14;1427;796;794;775;19;173;189;413
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;005;MALI LOŠINJ;POSLOVNI PROSTOR BIVŠE POSLOVNICE OTP BANKE;MALI LOŠINJ, CRESKA 3;1144;649;649;637;12;147;173;317
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;006;VELI LOŠINJ;PROSTORIJA MJESNOG ODBORA;VELI LOŠINJ, OBALA MARŠALA TITA 36;818;455;455;435;20;145;132;158
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;007;ILOVIK;ILOVIK - PROSTORIJA MJESNOG ODBORA;ILOVIK;135;59;59;59;0;8;28;23
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;008;SUSAK;SUSAK - PROSTORIJE MJESNOG ODBORA - DOM ISELJENIKA;SUSAK;257;78;78;77;1;2;22;53
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;009;UNIJE;UNIJE - PROSTORIJA OSNOVNE ŠKOLE;UNIJE;117;36;36;35;1;4;9;22
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;010;ÆUNSKI;ÆUNSKI - PROSTORIJE MJESNOG ODBORA;ÆUNSKI BR. 23;312;168;168;167;1;34;57;76
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;011;NEREZINE;"NEREZINE - PROSTORIJA ""GRADSKE VIJEÆNICE""";NEREZINE, TRG STUDENAC;532;283;283;282;1;50;116;116
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;012;PUNTA KRIŽA;PUNTA KRIŽA - PROSTORIJA OSNOVNE ŠKOLE;PUNTA KRIŽA;65;35;35;34;1;5;13;16
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;013;BELEJ;"BELEJ - PROSTORIJA ""ZADRUŽNOG DOMA""";BELEJ;81;52;52;50;2;7;13;30
