Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;ANTUN ANTUNOVIÆ;ANA BLEÈIÆ JELENOVIÆ;HRVOJE BURIÆ;MARKO FILIPOVIÆ;NIKOLA IVANIŠ;MARIN MILETIÆ;JOSIP OSTROGOVIÆ;KATARINA PEOVIÆ;DAVOR ŠTIMAC;VEDRAN VIVODA;NEBOJŠA ZELIÈ
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;001;COSTABELLA;PROSTORIJE MJESNOG ODBORA;ISTARSKA 50;1231;564;564;560;4;1;13;7;177;69;48;77;10;133;6;19
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;002;KANTRIDA;"OŠ ""KANTRIDA""";IZVIÐAÈKA 9;1209;508;508;501;7;2;15;6;162;73;24;68;11;105;12;23
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;003;KANTRIDA;"DOM  ""MIRKO ÈURBEG""";LOVRANSKA 10;1057;411;411;406;5;3;30;3;120;61;25;45;12;74;7;26
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;004;KANTRIDA;"OŠ ""KANTRIDA""";IZVIÐAÈKA 9;1045;465;465;456;9;2;22;11;163;59;46;58;18;60;10;7
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;005;ZAPADNI ZAMET;"OŠ ""ZAMET""";BOŽE VIDASA 12;934;367;367;362;5;3;11;2;91;67;30;47;20;58;11;22
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;006;ZAPADNI ZAMET;"OŠ ""ZAMET""";BOŽE VIDASA 12;1016;333;333;327;6;3;14;2;101;63;34;42;9;35;8;16
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;007;ZAPADNI ZAMET;"OŠ ""ZAMET""";BOŽE VIDASA 12;925;398;397;391;6;6;14;1;133;48;38;74;8;55;7;7
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;008;ZAPADNI ZAMET;"OŠ ""ZAMET""";BOŽE VIDASA 12;793;353;353;350;3;2;11;6;106;64;25;51;6;58;11;10
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;009;GORNJI ZAMET;"KUD ""ZAMETSKI KOREN""";MILICE JADRANIÆ 2;1078;358;358;353;5;0;11;2;60;55;72;50;9;68;6;20
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;010;GORNJI ZAMET;"KUD ""ZAMETSKI KOREN""";MILICE JADRANIÆ 2;1259;406;405;401;4;4;12;2;122;56;39;69;7;64;12;14
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;011;GORNJI ZAMET;PROSTORIJE MJESNOG ODBORA GORNJI ZAMET;MILICE JADRANIÆ 2A;941;249;247;245;2;4;11;4;45;49;38;53;8;21;9;3
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;012;GORNJI ZAMET;PROSTORIJE MJESNOG ODBORA GORNJI ZAMET;MILICE JADRANIÆ 2A;1200;347;347;340;7;2;8;1;77;52;58;56;11;64;5;6
