Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;NEVEN KOMADINA
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;DOBRINJ;001;DOBRINJ;DRUŠTVENI DOM;DOBRINJ;116;61;61;42;19;42
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;DOBRINJ;002;SUŽAN;DRUŠTVENI DOM;SUŽAN;76;53;53;44;9;44
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;DOBRINJ;003;ŠILO;ZGRADA AMBULANTE ŠILO;ŠILO;465;225;225;179;46;179
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;DOBRINJ;004;POLJE;DRUŠTVENI DOM;POLJE;320;130;130;125;5;125
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;DOBRINJ;005;GABONJIN;DRUŠTVENI DOM;GABONJIN;193;92;92;80;12;80
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;DOBRINJ;006;KRAS;DRUŠTVENI DOM;KRAS;254;97;97;84;13;84
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;DOBRINJ;007;ČIŽIĆI;DRUŠTVENI DOM;ČIŽIČI;198;70;70;61;9;61
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;DOBRINJ;008;SV. VID;VATROGASNI DOM;SVETI VID;141;47;47;43;4;43
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;DOBRINJ;009;HLAPA;DRUŠTVENI DOM;HLAPA;120;47;47;38;9;38
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;DOBRINJ;010;KLANICE;DRUŠTVENE PROSTORIJE;KLANICE;95;60;60;54;6;54
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;DOBRINJ;011;KLIMNO;DRUŠTVENI DOM;KLIMNO;233;74;74;64;10;64
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;DOBRINJ;012;RASOPASNO;DRUŠTVENE PROSTORIJE;RASOPASNO;135;49;49;40;9;40
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;DOBRINJ;013;SV. IVAN;DRUŠTVENE PROSTORIJE;SV. IVAN;45;23;23;22;1;22
