Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;AKCIJA MLADIH - AM, UNIJA KVARNERA - UNIJA, ALTERNATIVA 101 - ALTERNATIVA;BURA;DOMOVINSKI POKRET - DP, HRVATSKA STRANKA PRAVA - HSP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;LISTA ZA RIJEKU - RI;MOST;MOŽEMO! - POLITIÈKA PLATFORMA, NOVA LJEVICA - NL;PRIMORSKO GORANSKI SAVEZ - PGS, HRVATSKI LABURISTI - STRANKA RADA - LABURISTI;RADNIÈKA FRONTA - RF;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA STRANKA UMIROVLJENIKA - HSU, ISTARSKI DEMOKRATSKI SABOR - IDS, HRVATSKA SELJAÈKA STRANKA - HSS;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  DAVOR ŠTIMAC
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;001;COSTABELLA;PROSTORIJE MJESNOG ODBORA;ISTARSKA 50;1231;564;564;557;7;21;8;4;96;19;47;42;49;13;166;92
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;002;KANTRIDA;"OŠ ""KANTRIDA""";IZVIÐAÈKA 9;1209;508;508;495;13;25;6;9;70;25;23;44;51;22;146;74
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;003;KANTRIDA;"DOM  ""MIRKO ÈURBEG""";LOVRANSKA 10;1057;411;411;404;7;25;3;3;52;40;31;41;41;17;113;38
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;004;KANTRIDA;"OŠ ""KANTRIDA""";IZVIÐAÈKA 9;1045;465;465;462;3;34;5;6;76;34;49;22;36;18;149;33
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;005;ZAPADNI ZAMET;"OŠ ""ZAMET""";BOŽE VIDASA 12;934;367;367;359;8;25;1;5;52;18;23;35;49;22;85;44
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;006;ZAPADNI ZAMET;"OŠ ""ZAMET""";BOŽE VIDASA 12;1016;325;324;318;6;18;3;7;45;20;32;26;36;15;95;21
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;007;ZAPADNI ZAMET;"OŠ ""ZAMET""";BOŽE VIDASA 12;925;398;397;387;10;20;8;3;72;19;35;24;30;16;121;39
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;008;ZAPADNI ZAMET;"OŠ ""ZAMET""";BOŽE VIDASA 12;793;345;344;342;2;18;8;4;51;20;26;23;44;11;95;42
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;009;GORNJI ZAMET;"KUD ""ZAMETSKI KOREN""";MILICE JADRANIÆ 2;1078;358;358;354;4;24;1;13;76;13;50;28;40;8;65;36
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;010;GORNJI ZAMET;"KUD ""ZAMETSKI KOREN""";MILICE JADRANIÆ 2;1259;406;406;402;4;21;1;2;81;23;36;16;47;11;113;51
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;011;GORNJI ZAMET;PROSTORIJE MJESNOG ODBORA GORNJI ZAMET;MILICE JADRANIÆ 2A;941;249;247;244;3;15;4;10;57;12;35;6;41;7;44;13
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;012;GORNJI ZAMET;PROSTORIJE MJESNOG ODBORA GORNJI ZAMET;MILICE JADRANIÆ 2A;1200;345;345;337;8;15;4;7;69;7;51;15;44;15;72;38
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;013;ZAMET;ŠPORTSKO DRUŠTVO ZAMET;OBITELJI SUŠANJ 2;1373;505;504;497;7;25;6;5;69;23;50;38;65;23;138;55
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;014;ZAMET;ŠPORTSKO DRUŠTVO ZAMET;OBITELJI SUŠANJ 2;1302;446;446;438;8;32;1;7;69;9;50;22;54;5;139;50
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;015;ZAMET;ŠPORTSKO DRUŠTVO ZAMET;OBITELJI SUŠANJ 2;1240;446;446;434;12;25;7;7;75;14;52;28;55;16;105;50
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;016;SRDOÈI;PROSTORIJE MJESNOG ODBORA;MIROSLAVA KRLEŽE 4;1506;652;652;645;7;37;3;19;142;32;73;43;74;17;125;80
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;017;SRDOÈI;"OSNOVNA ŠKOLA ""SRDOÈI""";ANTE MODRUŠANA 33;1372;550;550;540;10;31;6;12;86;40;70;30;62;18;136;49
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;018;SRDOÈI;"OSNOVNA ŠKOLA ""SRDOÈI""";ANTE MODRUŠANA 33;1317;448;446;440;6;23;11;11;57;30;63;26;39;11;121;48
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;019;SRDOÈI;"OSNOVNA ŠKOLA ""SRDOÈI""";ANTE MODRUŠANA 33;1510;568;568;561;7;38;3;11;105;39;88;42;35;20;117;63
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;020;GRBCI;PROSTORIJE MJESNOG ODBORA;DRAŽIÈKA 4;1443;502;501;494;7;20;5;6;159;32;48;28;60;18;84;34
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;021;PEHLIN;"OŠ ""PEHLIN""";PEHLIN 34;911;273;272;267;5;10;6;5;53;8;38;14;23;8;79;23
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;022;PEHLIN;"OŠ ""PEHLIN""";PEHLIN 34;1247;413;413;403;10;19;9;11;83;22;54;18;41;20;94;32
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;023;PEHLIN;"OŠ ""PEHLIN""";PEHLIN 34;1106;355;355;348;7;14;3;10;71;7;60;23;35;12;76;37
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;024;PEHLIN;"OŠ ""PEHLIN""";PEHLIN 34;1376;427;427;397;30;13;4;20;57;10;42;21;35;9;113;73
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;025;BELVEDER;CENTAR ZA ODGOJ I OBRAZOVANJE;SENJSKIH USKOKA 2;935;372;372;362;10;26;3;7;46;25;46;30;30;15;97;37
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;026;BELVEDER;CENTAR ZA ODGOJ I OBRAZOVANJE;SENJSKIH USKOKA 2;801;361;361;356;5;23;4;8;49;19;27;36;21;23;107;39
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;027;BELVEDER;"""DOM MLADIH"" RIJEKA";LAGINJINA 15;1000;354;354;353;1;26;4;7;38;25;27;36;37;12;109;32
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;028;KOZALA;"""DOM MLADIH"" RIJEKA";LAGINJINA 15;1005;452;452;444;8;28;6;6;58;14;39;56;38;21;119;59
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;029;KOZALA;"OŠ  ""KOZALA""";ANTE KOVAÈIÆA 21;1174;522;522;513;9;33;4;2;63;23;32;65;48;27;149;67
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;030;KOZALA;PROSTORIJE MJESNOG ODBORA;VOLÈIÆEV TRG 2;1205;465;465;459;6;33;4;8;58;30;41;54;33;21;128;49
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;031;KOZALA;PROSTORIJE MJESNOG ODBORA;VOLÈIÆEV TRG 2;953;404;404;399;5;23;5;6;55;21;36;45;31;20;112;45
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;032;BRAŠÆINE-PULAC;"OŠ ""BELVEDER""";KOZALA 41;1039;424;424;418;6;33;10;10;67;25;40;45;27;12;106;43
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;033;BRAŠÆINE-PULAC;"OŠ ""BELVEDER""";KOZALA 41;929;298;298;289;9;18;6;3;56;13;41;15;21;11;65;40
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;034;DRENOVA;PROSTORIJE MJESNOG ODBORA;CVETKOV TRG 1;1189;444;444;433;11;23;12;15;81;27;32;30;33;23;115;42
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;035;DRENOVA;PROSTORIJE MJESNOG ODBORA;CVETKOV TRG 1;1239;445;445;438;7;23;1;11;97;27;55;26;30;15;111;42
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;036;DRENOVA;"""DVD"" DRENOVA";CVETKOV TRG 1;1363;554;554;543;11;29;3;10;96;23;71;47;35;10;148;71
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;037;DRENOVA;"PROSTORIJE ""LINGUAE"" ŠKOLE STRANIH JEZIKA";CVETKOV TRG 1;1203;455;455;450;5;17;7;4;111;25;48;28;28;7;118;57
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;038;DRENOVA;ZAVIÈAJNI MUZEJ MO DRENOVA;DRENOVSKI PUT 138A;861;287;287;280;7;20;2;13;44;17;34;23;26;8;66;27
