Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;KANDIDACIJSKA LISTA GRUPE BIRAČA -  NEVEN KOMADINA;KANDIDACIJSKA LISTA GRUPE BIRAČA -  DINO TURČIĆ
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;DOBRINJ;001;DOBRINJ;DRUŠTVENI DOM;DOBRINJ;116;61;61;60;1;17;19;24
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;DOBRINJ;002;SUŽAN;DRUŠTVENI DOM;SUŽAN;76;53;53;53;0;12;22;19
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;DOBRINJ;003;ŠILO;ZGRADA AMBULANTE ŠILO;ŠILO;465;226;226;221;5;26;58;137
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;DOBRINJ;004;POLJE;DRUŠTVENI DOM;POLJE;320;130;130;128;2;12;94;22
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;DOBRINJ;005;GABONJIN;DRUŠTVENI DOM;GABONJIN;193;92;92;88;4;13;42;33
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;DOBRINJ;006;KRAS;DRUŠTVENI DOM;KRAS;254;97;97;97;0;12;39;46
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;DOBRINJ;007;ČIŽIĆI;DRUŠTVENI DOM;ČIŽIČI;198;70;70;67;3;19;29;19
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;DOBRINJ;008;SV. VID;VATROGASNI DOM;SVETI VID;141;47;47;46;1;5;12;29
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;DOBRINJ;009;HLAPA;DRUŠTVENI DOM;HLAPA;120;47;47;46;1;5;18;23
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;DOBRINJ;010;KLANICE;DRUŠTVENE PROSTORIJE;KLANICE;95;60;60;59;1;12;36;11
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;DOBRINJ;011;KLIMNO;DRUŠTVENI DOM;KLIMNO;233;74;74;72;2;14;36;22
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;DOBRINJ;012;RASOPASNO;DRUŠTVENE PROSTORIJE;RASOPASNO;135;49;49;46;3;8;21;17
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;DOBRINJ;013;SV. IVAN;DRUŠTVENE PROSTORIJE;SV. IVAN;45;23;23;23;0;4;16;3
