Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;SAŠA BURIĆ;HELENA HLAVAČ;DRAŽEN MUFIĆ
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;001;BIRAČKO MJESTO BR. 1;DOM KULTURE JABLAN;ULICA JABLAN;157;96;96;93;3;27;23;43
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;002;BIRAČKO MJESTO BR. 2;PODRUČNA ŠKOLA SENJSKO;VRBOVSKO, SENJSKO 108;387;210;210;202;8;39;31;132
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;003;BIRAČKO MJESTO BR. 3;ZGRADA ŠUMARIJE VRBOVSKO;VRBOVSKO, IVANA GORANA KOVAČIĆA 19;509;225;225;215;10;56;37;122
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;004;BIRAČKO MJESTO BR. 4;PROSTORIJE OSNOVNE ŠKOLE IVANA GORANA KOVAČIĆA U VRBOVSKOM;VRBOVSKO, KRALJA TOMISLAVA 18;703;367;367;348;19;84;74;190
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;005;BIRAČKO MJESTO BR. 5;VATROGASNI DOM BLAŽEVCI;BLAŽEVCI;117;73;73;73;0;11;29;33
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;006;BIRAČKO MJESTO BR. 6;DOM KULTURE LUKOVDOL;LUKOVDOL;233;108;108;107;1;25;39;43
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;007;BIRAČKO MJESTO BR. 7;PODRUČNA ŠKOLA SEVERIN NA KUPI;SEVERIN NA KUPI 4;398;214;214;206;8;52;67;87
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;008;BIRAČKO MJESTO BR. 8;PODRUČNA ŠKOLA VELIKI JADRČ;VELIKI JADRČ;160;104;104;100;4;15;25;60
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;009;BIRAČKO MJESTO BR. 9;PODRUČNA ŠKOLA GOMIRJE;GOMIRJE, ULICA JOVE MAMULE;545;282;282;275;7;99;25;151
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;010;BIRAČKO MJESTO BR. 10;DOM KULTURE  /DVORANA TZK/ MORAVICE;ULICA MARKA VUČKOVIĆA 2 MORAVICE;664;263;263;257;6;131;28;98
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;011;BIRAČKO MJESTO BR. 11;PODRUČNA ŠKOLA MORAVICE;MORAVICE, ULICA DOKMANOVIĆI;293;102;102;94;8;57;3;34
