Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA SELJAČKA STRANKA - HSS;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;GRADINA;001;GRADINA;VATROGASNI DOM GRADINA (SALA);TRG HRVATSKIH BRANITELJA 1;494;279;279;269;10;152;93;15;9
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;GRADINA;002;GRADINA;VATROGASNI DOM GRADINA (PRIJAŠNJE PROSTORIJE OPĆINE);TRG HRVATSKIH BRANITELJA 1;231;156;156;153;3;86;55;9;3
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;GRADINA;003;BAČEVAC;PODRUČNA ŠKOLA BAČEVAC;BAČEVAC 67;313;167;167;162;5;66;82;12;2
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;GRADINA;004;BREZOVICA;DRUŠTVENI DOM BREZOVICA;BREZOVICA, STJEPANA RADIĆA 2;433;243;243;236;7;86;128;20;2
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;GRADINA;005;BUDAKOVAC;DRUŠTVENI DOM BUDAKOVAC;ČOROVA 43;237;115;115;110;5;30;65;7;8
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;GRADINA;006;DETKOVAC;DRUŠTVENI DOM DETKOVAC;DETKOVAC 99;230;128;128;121;7;30;61;17;13
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;GRADINA;007;LIPOVAC;DOM KULTURE LIPOVAC;ALOJZIJA STEPINCA 10;218;97;97;88;9;55;8;9;16
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;GRADINA;008;LUG GRADINSKI;PODRUČNA ŠKOLA LUG GRADINSKI;LUG GRADINSKI 85;62;47;47;45;2;14;28;3;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;GRADINA;009;NOVI GRADAC;DRUŠTVENI DOM NOVI GRADAC;NOVI GRADAC 48;124;69;69;68;1;11;55;2;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;GRADINA;010;RUŠANI;PODRUČNA ŠKOLA RUŠANI;RUŠANI 83;370;217;217;210;7;81;82;46;1
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;GRADINA;011;ŽLEBINA;DRUŠTVENI DOM ŽLEBINA;ZDENKA SABOLIĆA 3;232;118;118;114;4;25;45;36;8
