Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP;FOKUS;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;HRVATSKA STRANKA PRAVA - HSP;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;001;BAKIĆ;PODRUČNA OSNOVNA ŠKOLA BAKIĆ;BAKIĆ;426;190;190;183;7;40;16;116;3;1;7
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;002;BISTRICA;POSLOVNI PROSTOR TVRTKE TRGOCENTAR D.D.;BISTRICA 85;117;40;40;39;1;9;9;10;1;1;9
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;003;DONJI MELJANI;PODRUČNA OSNOVNA ŠKOLA;DONJI MELJANI;203;94;94;93;1;34;4;41;3;4;7
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;004;GOLENIĆ;DOM MJESNOG ODBORA;GOLENIĆ;18;10;10;10;0;7;0;2;0;0;1
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;005;GORNJI MIHOLJAC;PODRUČNA OSNOVNA ŠKOLA;GORNJI MIHOLJAC;177;110;110;108;2;22;7;57;1;16;5
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;006;IVANBRIJEG;KUĆA U VLASNIŠTVU ŽELJKA CVETIĆA;IVANBRIJEG BB;28;13;13;13;0;1;0;8;0;0;4
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;007;KOZICE;DOM MJESNOG ODBORA;KOZICE;392;169;169;168;1;57;16;84;1;4;6
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;008;LUKAVAC;DOM MJESNOG ODBORA;LUKAVAC;79;35;35;33;2;4;0;23;5;0;1
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;009;MARKOVO;DOM  MJESNOG ODBORA;MARKOVO;108;46;46;44;2;10;6;20;2;3;3
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;010;MEDINCI;DOM MJESNOG ODBORA;MEDINCI;177;69;69;65;4;12;9;17;2;9;16
