Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;VLADIMIR BESEK;IVICA KIRIN;DRAŽEN KUREČIĆ;SINIŠA PRPIĆ
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;001;ČEMERNICA;DOM MJESNOG ODBORA ČEMERNICA;ULICA KARDINALA FRANJE KUHARIĆA 1;587;271;271;261;10;22;145;59;35
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;002;GOLO BRDO;DOM MJESNOG ODBORA GOLO BRDO;GOLO BRDO 78;296;152;152;148;4;17;82;8;41
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;003;JASENAŠ;DOM MJESNOG ODBORA JASENAŠ;ULICA JASENAŠ 66;74;22;22;21;1;9;1;7;4
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;004;KORIJA;PODRUČNA ŠKOLA KORIJA;ULICA MARKA OREŠKOVIĆA BB;683;261;261;249;12;24;147;44;34
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;005;MILANOVAC;PODRUČNA ŠKOLA MILANOVAC;ULICA 30.SVIBNJA 31;773;319;319;312;7;39;149;52;72
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;006;MILANOVAC;DOM MJESNOG ODBORA MILANOVAC;ULICA 30. SVIBNJA BB;701;320;320;309;11;40;169;34;66
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;007;PODGORJE;DOM MJESNOG ODBORA PODGORJE;VIROVITIČKA ULICA 3;697;331;331;315;16;16;180;57;62
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;008;REZOVAC;PODRUČNA ŠKOLA REZOVAC, UČIONICA BR. 1;ULICA NOVI REZOVAC 70;641;227;227;217;10;25;137;16;39
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;009;REZOVAC;PODRUČNA ŠKOLA REZOVAC, UČIONICA BR. 2;ULICA NOVI REZOVAC 70;470;139;139;132;7;26;76;14;16
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;010;REZOVAČKE KRČEVINE;PODRUČNA ŠKOLA REZOVAČKE KRČEVINE;ULICA SVETOG MIHOVILA 1;269;126;126;122;4;2;96;10;14
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;011;SVETI ĐURAĐ;DOM MJESNOG ODBORA SVETI ĐURAĐ;MLINSKA ULICA 1;497;258;258;248;10;25;176;22;25
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;012;TABORIŠTE;PODRUČNA ŠKOLA TABORIŠTE, UČIONICA 1;PODRAVSKA ULICA BB;808;340;340;329;11;66;155;61;47
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;013;TABORIŠTE;PODRUČNA ŠKOLA TABORIŠTE, UČIONICA 2;PODRAVSKA ULICA BB;671;314;314;303;11;53;165;29;56
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;014;VIROVITICA;ZAVOD ZA ZAPOŠLJAVANJE, PODRUČNA SLUŽBA VIROVITICA;ULICA ANTUNA MIHANOVIĆA 40;740;395;395;378;17;48;188;73;69
