Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;ZDRAVKO DIJAKOVIĆ;ŽELJKO GRGAČIĆ;ZLATKO MAJSTOR
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;001;KLADARE;VATROGASNI DOM;KLADARE 33 B;360;198;198;189;9;23;136;30
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;002;DINJEVAC;PODRUČNA ŠKOLA;DINJEVAC, VLADIMIRA NAZORA 60;344;201;201;196;5;30;159;7
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;003;GRABROVNICA;PODRUČNA ŠKOLA;GRABROVNICA 98 A;323;192;192;183;9;55;105;23
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;004;STAROGRADAČKI MAROF;PODRUČNA ŠKOLA;STAROGRADAČKI MAROF 6 A;170;112;112;109;3;30;75;4
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;005;STARI GRADAC;PODRUČNA ŠKOLA;STARI GRADAC, VLADIMIRA NAZORA 115 B;522;256;255;248;7;49;178;21
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;006;TURNAŠICA;PODRUČNA ŠKOLA;TURNAŠICA, TRG STJEPANA SULIMANCA 5;249;120;120;117;3;30;71;16
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;007;SEDLARICA;PODRUČNA ŠKOLA;SEDLARICA 65 A;258;164;164;155;9;48;96;11
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;008;VELIKA ČREŠNJEVICA;PODRUČNA ŠKOLA;VELIKA ČREŠNJEVICA 130;370;197;197;190;7;18;157;15
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;009;MALA ČREŠNJEVICA;PODRUČNA ŠKOLA;MALA ČREŠNJEVICA 105;156;77;77;72;5;23;44;5
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;010;OTROVANEC;PODRUČNA ŠKOLA;OTROVANEC 89 A;480;244;244;236;8;51;164;21
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;011;PITOMAČA;VATROGASNI DOM;VINOGRADSKA 32;469;219;219;217;2;68;100;49
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;012;PITOMAČA;OPĆINA PITOMAČA;LJUDEVITA GAJA 26/I;423;223;223;219;4;45;142;32
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;013;PITOMAČA;ZGRADA UDRUŽENJA OBRTNIKA OPĆINE PITOMAČA;PETRA PRERADOVIĆA 5;381;184;184;177;7;48;96;33
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;014;PITOMAČA;PRIVATNA KUĆA VLADE SILADIĆA;PITOMAČA, BRAĆE RADIĆA 70;543;120;120;117;3;51;53;13
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;015;PITOMAČA;PRIVATNA KUĆA MARINE JAKUPEC;VLADIMIRA NAZORA 85 A;432;108;108;106;2;29;54;23
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;016;PITOMAČA;OSNOVNA ŠKOLA PETRA PRERADOVIĆA;TRG KRALJA TOMISLAVA 9;485;212;212;200;12;44;121;35
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;017;PITOMAČA;DRUŠTVENI DOM-GREDA;MIHOVILA PAVLEKA MIŠKINE 55 A;526;245;245;238;7;59;140;39
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;018;PITOMAČA;PRIVATNA KUĆA MARIJE DENT;PITOMAČA, LJUDEVITA GAJA 77;512;258;258;254;4;57;153;44
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;019;PITOMAČA;PRIVATNA KUĆA JELE MILANOVIĆ;DRAVSKA 104;361;180;180;170;10;19;93;58
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;020;PITOMAČA;PRIVATNA KUĆA ĐURE FONJAKA;DRAVSKA 247 F;359;123;123;122;1;32;64;26
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;021;KRIŽNICA;DRUŠTVENI DOM;KRIŽNICA 30;105;57;57;56;1;11;42;3
