Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DEMOKRATSKI HSS - DHSS;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
04;KARLOVAČKA ŽUPANIJA;općina;NETRETIĆ;001;BIRAČKO MJESTO BR. 1;"ZGRADA OSNOVNE ŠKOLE ""NETRETIĆ"" - PRIZEMLJE";NETRETIĆ 1;109;61;61;61;0;24;35;2;0
04;KARLOVAČKA ŽUPANIJA;općina;NETRETIĆ;002;BIRAČKO MJESTO BR. 2;KUĆA TOMISLAVA MOŠKUN;ZAVRŠJE NETRETIĆKO 15A;59;29;29;28;1;10;15;1;2
04;KARLOVAČKA ŽUPANIJA;općina;NETRETIĆ;003;BIRAČKO MJESTO BR. 3;KUĆA DRAGUTINA KUŠAN;BRAJAKOVO BRDO 53;107;58;58;55;3;19;30;5;1
04;KARLOVAČKA ŽUPANIJA;općina;NETRETIĆ;004;BIRAČKO MJESTO BR. 4;ZGRADA PODRUČNE ŠKOLE DONJE STATIVE;DONJE STATIVE 1;185;84;84;82;2;40;28;5;9
04;KARLOVAČKA ŽUPANIJA;općina;NETRETIĆ;005;BIRAČKO MJESTO BR. 5;KUĆA ROŽIĆ PEPE;LONČAR BRDO 3;48;35;35;32;3;11;20;0;1
04;KARLOVAČKA ŽUPANIJA;općina;NETRETIĆ;006;BIRAČKO MJESTO BR. 6;VATROGASNI DOM KUNIĆI;KUNIĆI RIBNIČKI 26A;75;42;42;42;0;27;9;3;3
04;KARLOVAČKA ŽUPANIJA;općina;NETRETIĆ;007;BIRAČKO MJESTO BR. 7;VATROGASNI DOM PRILIŠĆE;SREDNJE PRILIŠĆE 4;167;91;91;87;4;44;15;14;14
04;KARLOVAČKA ŽUPANIJA;općina;NETRETIĆ;008;BIRAČKO MJESTO BR. 8;DOM KULTURE VUKOVA GORICA;VUKOVA GORICA 26;52;33;33;33;0;21;4;4;4
04;KARLOVAČKA ŽUPANIJA;općina;NETRETIĆ;009;BIRAČKO MJESTO BR. 9;KUĆA NIKOLE MARKUŠ;VINSKI VRH 7A;68;48;48;48;0;15;32;0;1
04;KARLOVAČKA ŽUPANIJA;općina;NETRETIĆ;010;BIRAČKO MJESTO BR. 10;ZGRADA MO KUČEVICE KOD KRIŽA;KUČEVICE BB;87;49;49;49;0;22;21;3;3
04;KARLOVAČKA ŽUPANIJA;općina;NETRETIĆ;011;BIRAČKO MJESTO BR. 11;ZGRADA PODRUČNE ŠKOLE NOVIGRAD;NOVIGRAD NA DOBRI 19;213;130;130;122;8;54;56;8;4
04;KARLOVAČKA ŽUPANIJA;općina;NETRETIĆ;012;BIRAČKO MJESTO BR. 12;ZGRADA PODRUČNE ŠKOLE JARČE POLJE;JARČE POLJE 18;257;111;111;108;3;65;35;3;5
04;KARLOVAČKA ŽUPANIJA;općina;NETRETIĆ;013;BIRAČKO MJESTO BR. 13;ZGRADA PODRUČNE ŠKOLE DUBRAVCI;DUBRAVČANI 50;377;209;209;208;1;82;98;15;13
04;KARLOVAČKA ŽUPANIJA;općina;NETRETIĆ;014;BIRAČKO MJESTO BR. 14;ZGRADA DRUŠTVENOG DOMA MRAČIN;MRAČIN 65;217;116;116;112;4;55;48;2;7
04;KARLOVAČKA ŽUPANIJA;općina;NETRETIĆ;015;BIRAČKO MJESTO BR. 15;DRUŠTVENI DOM SKUPICA;SKUPICA 36;160;78;78;77;1;34;35;2;6
04;KARLOVAČKA ŽUPANIJA;općina;NETRETIĆ;016;BIRAČKO MJESTO BR. 16;ZGRADA PODRUČNE ŠKOLE ZAGRADCI;ZAGRADCI 69;183;96;96;94;2;29;19;43;3
