Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA STRANKA PRAVA - HSP;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS;HRVATSKA SELJAČKA STRANKA - HSS, SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
04;KARLOVAČKA ŽUPANIJA;općina;BARILOVIĆ;001;BIRAČKO MJESTO BR. 1;VATROGASNI DOM DVD BELAJSKE POLJICE;BELAJSKE POLJICE 101A;617;272;272;260;12;177;39;44
04;KARLOVAČKA ŽUPANIJA;općina;BARILOVIĆ;002;BIRAČKO MJESTO BR. 2;PODRUČNA ŠKOLA BELAJ;BELAJ 30;463;189;189;185;4;140;30;15
04;KARLOVAČKA ŽUPANIJA;općina;BARILOVIĆ;003;BIRAČKO MJESTO BR. 3;VATROGASNI DOM BARILOVIĆ;BARILOVIĆ 90B;267;131;131;130;1;76;28;26
04;KARLOVAČKA ŽUPANIJA;općina;BARILOVIĆ;004;BIRAČKO MJESTO BR. 4;ŠKOLA U DONJEM VELEMERIĆU;DONJI VELEMERIĆ 20;225;134;134;129;5;109;17;3
04;KARLOVAČKA ŽUPANIJA;općina;BARILOVIĆ;005;BIRAČKO MJESTO BR. 5;KUĆA KARAMARKOVIĆ MILOVAN;KOSIJERSKO SELO 41;132;47;47;47;0;25;18;4
04;KARLOVAČKA ŽUPANIJA;općina;BARILOVIĆ;006;BIRAČKO MJESTO BR. 6;KORANSKI BRIJEG - BIVŠA MLJEKARA;KORANSKI BRIJEG;92;42;42;42;0;29;4;9
04;KARLOVAČKA ŽUPANIJA;općina;BARILOVIĆ;007;BIRAČKO MJESTO BR. 7;KUĆA PRIJATELJSTVA - BLIZU ŽUPNOG DVORA U BARILOVIĆKOM LESKOVCU;BARILOVIĆKI LESKOVAC;160;119;119;118;1;78;35;5
04;KARLOVAČKA ŽUPANIJA;općina;BARILOVIĆ;008;BIRAČKO MJESTO BR. 8;PROSTORIJE MJESNOG ODBORA;ŠĆULAC BB;126;88;88;87;1;66;17;4
04;KARLOVAČKA ŽUPANIJA;općina;BARILOVIĆ;009;BIRAČKO MJESTO BR. 9;OPĆINSKA ZGRADA;PERJASICA 1;203;32;32;31;1;13;13;5
04;KARLOVAČKA ŽUPANIJA;općina;BARILOVIĆ;010;BIRAČKO MJESTO BR. 10;DVD SIČA;SIČA;145;109;109;108;1;91;12;5
04;KARLOVAČKA ŽUPANIJA;općina;BARILOVIĆ;011;BIRAČKO MJESTO BR. 11;KUĆA GRGINČIĆ JOSIPA;VIJENAC BARILOVIĆKI 2;45;27;27;27;0;23;3;1
04;KARLOVAČKA ŽUPANIJA;općina;BARILOVIĆ;012;BIRAČKO MJESTO BR. 12;ŠKOLA U BARILOVIĆKOM CEROVCU;BARILOVIĆKI CEROVAC 17;128;64;64;60;4;47;8;5
