Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DAMIR MANDIÆ;DAVOR PETRAÈIÆ;DRAŽENKA POLOVIÆ;AMIRUDIN TALAKIÆ;ÈEDOMIR TATALOVIÆ
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;001;BIRAÈKO MJESTO BR. 1;MV TREND D.O.O. (NOVA TRŽNICA);TRG HRVATSKIH BRANITELJA 4;550;236;236;230;6;86;104;25;7;8
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;002;BIRAÈKO MJESTO BR. 2;"GRADSKA KNJIŽNICA ""I.G.KOVAÈIÆ""";LJ. ŠESTIÆA 1;1467;657;656;632;24;203;326;80;13;10
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;003;BIRAÈKO MJESTO BR. 3;MV TREND D.O.O. (NOVA TRŽNICA);TRG HRVATSKIH BRANITELJA 4;585;265;265;258;7;93;125;25;5;10
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;004;BIRAÈKO MJESTO BR. 4;VELEUÈILIŠTE KARLOVAC;MEŠTROVIÆEVA 10;742;299;299;293;6;101;129;48;8;7
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;005;BIRAÈKO MJESTO BR. 5;VELEUÈILIŠTE KARLOVAC;MEŠTROVIÆEVA 10;1525;698;696;666;30;262;289;72;18;25
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;006;BIRAÈKO MJESTO BR. 6;OSNOVNA ŠKOLA GRABRIK;BARTOLA KAŠIÆA 15;1209;535;535;519;16;190;246;64;13;6
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;007;BIRAÈKO MJESTO BR. 7;OSNOVNA ŠKOLA GRABRIK;BARTOLA KAŠIÆA 15;1139;475;475;460;15;182;202;55;11;10
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;008;BIRAÈKO MJESTO BR. 8;OSNOVNA ŠKOLA GRABRIK;BARTOLA KAŠIÆA 15;1378;566;564;557;7;251;211;69;18;8
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;009;BIRAÈKO MJESTO BR. 9;GRADSKA ÈETVRT ZVIJEZDA;BANJAVÈIÆEVA 8 (ÈITAONICA);397;164;162;158;4;69;59;20;7;3
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;010;BIRAÈKO MJESTO BR 10;EKONOMSKA ŠKOLA KARLOVAC;KURELÈEVA 2;417;183;183;179;4;65;74;28;5;7
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;011;BIRAÈKO MJESTO BR. 11;PROSTORIJE TVRTKI VODOVOD I KANALIZACIJA D.O.O I ÈISTOÆA D.O.O.;GAŽANSKI TRG 8 (U PRIZEMLJU);356;123;123;122;1;53;52;14;1;2
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;012;BIRAÈKO MJESTO BR. 12;PROSTORIJE G.È. GAZA;GAŽANSKI TRG 11;846;334;334;322;12;111;149;45;5;12
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;013;BIRAÈKO MJESTO BR. 13;PROSTORIJE PRIRODOSLOVNE ŠKOLE KARLOVAC;STJEPANA MIHALIÆA 43;454;171;171;158;13;76;61;12;5;4
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;014;BIRAÈKO MJESTO BR. 14;PROSTORIJE MJESNOG ODBORA GRADAC;GRADAC 31;349;153;153;144;9;86;43;7;5;3
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;015;BIRAÈKO MJESTO BR. 15;PROSTORIJE MJESNOG ODBORA ORLOVAC;REÈIÈKA 55;716;298;298;283;15;218;40;6;18;1
