Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;KANDIDACIJSKA LISTA GRUPE BIRAČA - DANIJEL JURKAŠ
04;KARLOVAČKA ŽUPANIJA;općina;ŽAKANJE;001;BIRAČKO MJESTO BR. 1 BUBNJARCI;VATROGASNI DOM BUBNJARCI;BUBNJARCI;166;129;129;126;3;10;26;90
04;KARLOVAČKA ŽUPANIJA;općina;ŽAKANJE;002;BIRAČKO MJESTO BR. 2 JUROVSKI BROD;VATROGASNI DOM JUROVSKI BROD;JUROVSKI BROD;363;227;227;217;10;11;61;145
04;KARLOVAČKA ŽUPANIJA;općina;ŽAKANJE;003;BIRAČKO MJESTO BR. 3 JUROVO;VATROGASNI DOM JUROVO;JUROVO;73;66;66;65;1;0;24;41
04;KARLOVAČKA ŽUPANIJA;općina;ŽAKANJE;004;BIRAČKO MJESTO BR. 4 MIŠINCI;VATROGASNI DOM MIŠINCI;MIŠINCI;102;76;76;74;2;14;28;32
04;KARLOVAČKA ŽUPANIJA;općina;ŽAKANJE;005;BIRAČKO MJESTO BR. 5 BRIHOVO;VATROGASNI DOM BRIHOVO;BRIHOVO;138;100;100;97;3;15;30;52
04;KARLOVAČKA ŽUPANIJA;općina;ŽAKANJE;006;BIRAČKO MJESTO BR. 6 ŽAKANJE;VATROGASNI DOM ŽAKANJE;ŽAKANJE;189;131;131;129;2;14;41;74
04;KARLOVAČKA ŽUPANIJA;općina;ŽAKANJE;007;BIRAČKO MJESTO BR. 7 BREZNIK ŽAKANJSKI;KUĆA MIJE BOLDIN;BREZNIK ŽAK. KBR. 13;23;18;18;18;0;3;4;11
04;KARLOVAČKA ŽUPANIJA;općina;ŽAKANJE;008;BIRAČKO MJESTO BR. 8 KOHANJAC;VATROGASNI DOM KOHANJAC;KOHANJAC;79;56;56;55;1;6;18;31
04;KARLOVAČKA ŽUPANIJA;općina;ŽAKANJE;009;BIRAČKO MJESTO BR. 9 ZALUKA LIPNIČKA;VATROGASNI DOM ZALUKA LIPNIČKA;ZALUKA LIPNIČKA;102;77;77;77;0;4;50;23
04;KARLOVAČKA ŽUPANIJA;općina;ŽAKANJE;010;BIRAČKO MJESTO BR. 10 PRAVUTINA;VATROGASNI DOM PRAVUTINA;PRAVUTINA;183;122;122;120;2;8;55;57
04;KARLOVAČKA ŽUPANIJA;općina;ŽAKANJE;011;BIRAČKO MJESTO BR. 11 VELIKA PAKA;VATROGASNI DOM VELIKA PAKA;VELIKA PAKA;107;79;79;79;0;24;32;23
04;KARLOVAČKA ŽUPANIJA;općina;ŽAKANJE;012;BIRAČKO MJESTO BR. 12 MOŠANCI;VATROGASNI DOM MOŠANCI;MOŠANCI;51;29;29;29;0;10;7;12
