Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS;KANDIDACIJSKA LISTA GRUPE BIRAČA -  ZLATKO MIHALJEVIĆ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
04;KARLOVAČKA ŽUPANIJA;općina;JOSIPDOL;001;BIRAČKO MJESTO BR. 1;ZGRADA OPĆINE, JOSIPDOL;OGULINSKA 12;996;605;605;595;10;28;250;50;136;131
04;KARLOVAČKA ŽUPANIJA;općina;JOSIPDOL;002;BIRAČKO MJESTO BR. 2;ZGRADA DOMA ''SV. ANTUN'' U CAREVOM POLJU;CAREVO POLJE 41;138;75;75;74;1;6;29;2;18;19
04;KARLOVAČKA ŽUPANIJA;općina;JOSIPDOL;003;BIRAČKO MJESTO BR. 3;KUĆA JOSIPA BOŽIČEVIĆA, OŠTARIJE;ČAKOVAC 408;160;84;84;82;2;16;33;4;12;17
04;KARLOVAČKA ŽUPANIJA;općina;JOSIPDOL;004;BIRAČKO MJESTO BR. 4;PROSTORIJE ŠKOLE;MODRUŠ 28;117;87;87;85;2;1;56;15;7;6
04;KARLOVAČKA ŽUPANIJA;općina;JOSIPDOL;005;BIRAČKO MJESTO BR. 5;ZGRADA ŠKOLE U CEROVNIKU;CEROVNIK 30;141;89;89;85;4;9;46;9;11;10
04;KARLOVAČKA ŽUPANIJA;općina;JOSIPDOL;006;BIRAČKO MJESTO BR. 6;ZGRADA ŠKOLE;MUNJAVA MODRUŠKA 11 A;53;40;40;33;7;2;19;2;5;5
04;KARLOVAČKA ŽUPANIJA;općina;JOSIPDOL;007;BIRAČKO MJESTO BR. 7;STARA ŠKOLSKA ZGRADA U MODRUŠKIM SABLJACIMA;MODRUŠKI SABLJACI 19;32;15;15;15;0;1;4;5;4;1
04;KARLOVAČKA ŽUPANIJA;općina;JOSIPDOL;008;BIRAČKO MJESTO BR. 8;DRUŠTVENI DOM U VOJNOVCU;VOJNOVAC 5 A;114;57;57;57;0;1;31;4;4;17
04;KARLOVAČKA ŽUPANIJA;općina;JOSIPDOL;009;BIRAČKO MJESTO BR. 9;POSLOVNA ZGRADA, OŠTARIJE;OŠTARIJE 231;831;481;481;471;10;27;207;11;145;81
04;KARLOVAČKA ŽUPANIJA;općina;JOSIPDOL;010;BIRAČKO MJESTO BR. 10;"ZGRADA DOMA ""SVETI MARKO""";SKRADNIK 40;301;202;202;201;1;19;92;1;70;19
04;KARLOVAČKA ŽUPANIJA;općina;JOSIPDOL;011;BIRAČKO MJESTO BR. 11;DOM MIHALJEVIĆI, OŠTARIJE;MIHALJEVIĆI 121;115;81;81;79;2;7;40;3;23;6
