Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS, DEMOKRATSKI SAVEZ SRBA - DSS;KANDIDACIJSKA LISTA GRUPE BIRAČA -  NIKOLA ŠKRGIĆ
04;KARLOVAČKA ŽUPANIJA;općina;VOJNIĆ;001;BIRAČKO MJESTO BR. 1;UTINJA VRELO - KUĆA RADE BASARA;PODSEDLO 36;272;139;139;131;8;57;42;32
04;KARLOVAČKA ŽUPANIJA;općina;VOJNIĆ;002;BIRAČKO MJESTO BR. 2;KNEŽEVIĆ KOSA - KUĆA MILE MIHANOVIĆ;KNEŽEVIĆ KOSA 34;259;141;141;138;3;81;44;13
04;KARLOVAČKA ŽUPANIJA;općina;VOJNIĆ;003;BIRAČKO MJESTO BR. 3;BUKOVICA UTINJSKA - KUĆA JEKE BIJELIĆ;BUKOVICA UTINJSKA 27;99;50;50;47;3;10;27;10
04;KARLOVAČKA ŽUPANIJA;općina;VOJNIĆ;004;BIRAČKO MJESTO BR. 4;VOJIŠNICA - KUĆA DRAGANA VUKOBRATOVIĆ;VOJIŠNICA 99A;421;241;241;227;14;126;52;49
04;KARLOVAČKA ŽUPANIJA;općina;VOJNIĆ;005;BIRAČKO MJESTO BR. 5;RADONJA - KUĆA PAJIĆ NENADA;GORNJI VOJNIĆ 26;291;181;181;168;13;87;53;28
04;KARLOVAČKA ŽUPANIJA;općina;VOJNIĆ;006;BIRAČKO MJESTO BR. 6;VOJNIĆ - DOM KULTURE VOJNIĆ;ANDRIJE HEBRANGA 2;922;510;510;482;28;326;87;69
04;KARLOVAČKA ŽUPANIJA;općina;VOJNIĆ;007;BIRAČKO MJESTO BR. 7;KUPLJENSKO - KUĆA NAPIJALO MILANA;KUPLJENSKO 108;264;139;139;132;7;64;48;20
04;KARLOVAČKA ŽUPANIJA;općina;VOJNIĆ;008;BIRAČKO MJESTO BR. 8;KRSTINJA - ZGRADA POLJOPRIVREDNE ZADRUGE;KRSTINJA B.B.;230;102;102;99;3;33;52;14
04;KARLOVAČKA ŽUPANIJA;općina;VOJNIĆ;009;BIRAČKO MJESTO BR. 9;MIHOLJSKO - KUĆA MIRKO PAVLOVIĆ;MIHOLJSKO 60;148;82;82;80;2;24;46;10
04;KARLOVAČKA ŽUPANIJA;općina;VOJNIĆ;010;BIRAČKO MJESTO BR. 10;SVINICA KRSTINJSKA -  ZGRADA BIVŠE PODRUČNE ŠKOLE;SVINICA KRSTINJSKA B.B.;387;165;165;157;8;87;59;11
04;KARLOVAČKA ŽUPANIJA;općina;VOJNIĆ;011;BIRAČKO MJESTO BR. 11;ŠIROKA RIJEKA - KUĆA HUSEIN DELIĆ;ŠIROKA RIJEKA 9;174;82;82;77;5;53;15;9
04;KARLOVAČKA ŽUPANIJA;općina;VOJNIĆ;012;BIRAČKO MJESTO BR. 12;KESTENOVAC - ZGRADA BIVŠE ŠKOLE;KESTENOVAC B.B.;106;35;35;34;1;10;17;7
