Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;SINIŠA LJUBOJEVIĆ;NEVEN VUJNOVIĆ
04;KARLOVAČKA ŽUPANIJA;grad;OGULIN;001;BIRAČKO MJESTO BR. 1;DOM DONJE DUBRAVE;DONJE DUBRAVE BB;118;62;62;60;2;38;22
04;KARLOVAČKA ŽUPANIJA;grad;OGULIN;002;BIRAČKO MJESTO BR. 2;PROSTORIJE MJESNOG ODBORA GORNJE DUBRAVE;GORNJE DUBRAVE BB;56;23;23;23;0;14;9
04;KARLOVAČKA ŽUPANIJA;grad;OGULIN;003;BIRAČKO MJESTO BR. 3;PODRUČNA ŠKOLA TROŠMARIJA;TROŠMARIJA 1;69;31;31;26;5;17;9
04;KARLOVAČKA ŽUPANIJA;grad;OGULIN;004;BIRAČKO MJESTO BR. 4;DOM SV. ANTUN;ŽEGAR 1;45;6;6;6;0;5;1
04;KARLOVAČKA ŽUPANIJA;grad;OGULIN;005;BIRAČKO MJESTO BR. 5;PODRUČNA ŠKOLA PONIKVE;PONIKVE 21;52;32;32;32;0;9;23
04;KARLOVAČKA ŽUPANIJA;grad;OGULIN;006;BIRAČKO MJESTO BR. 6;PODRUČNA ŠKOLA HRELJIN OGULINSKI;HRELJIN OGULINSKI 3;130;70;70;67;3;36;31
04;KARLOVAČKA ŽUPANIJA;grad;OGULIN;007;BIRAČKO MJESTO BR. 7;DOM SV. PETAR;SV. PETAR BB;23;3;3;3;0;3;0
04;KARLOVAČKA ŽUPANIJA;grad;OGULIN;008;BIRAČKO MJESTO BR. 8;PODRUČNA ŠKOLA TURKOVIĆI, TURKOVIĆI OGULINSKI;TURKOVIĆI 10;71;40;40;40;0;27;13
04;KARLOVAČKA ŽUPANIJA;grad;OGULIN;009;BIRAČKO MJESTO BR. 9;PROSTORIJE MJESNOG ODBORA PRAPUĆE-ZAGRAD (BIVŠI ''METIS'');MALA CESTA 6;125;24;24;23;1;16;7
04;KARLOVAČKA ŽUPANIJA;grad;OGULIN;010;BIRAČKO MJESTO BR. 10;PODRUČNA ŠKOLA DESMERICE;DESMERICE 54;2;0;0;0;0;0;0
04;KARLOVAČKA ŽUPANIJA;grad;OGULIN;011;BIRAČKO MJESTO BR. 11;PODRUČNA ŠKOLA ZAGORJE;GORNJE ZAGORJE BB;4;1;1;1;0;0;1
04;KARLOVAČKA ŽUPANIJA;grad;OGULIN;012;BIRAČKO MJESTO BR. 12;PODRUČNA ŠKOLA KUČINIĆI;KUČINIĆ SELO 26;18;0;0;0;0;0;0
04;KARLOVAČKA ŽUPANIJA;grad;OGULIN;013;BIRAČKO MJESTO BR. 13;DOM RIBARIĆI;RIBARIĆI BB;2;0;0;0;0;0;0
04;KARLOVAČKA ŽUPANIJA;grad;OGULIN;014;BIRAČKO MJESTO BR. 14;PODRUČNA ŠKOLA OTOK OŠTARIJSKI;OTOK OŠTARIJSKI 73;191;108;108;107;1;55;52
04;KARLOVAČKA ŽUPANIJA;grad;OGULIN;015;BIRAČKO MJESTO BR. 15;PODRUČNA ŠKOLA POTOK MUSULINSKI;POTOK MUSULINSKI BB;75;30;30;29;1;12;17
04;KARLOVAČKA ŽUPANIJA;grad;OGULIN;016;BIRAČKO MJESTO BR. 16;PODRUČNA ŠKOLA JASENAK;JASENAK 28;139;71;71;70;1;29;41
04;KARLOVAČKA ŽUPANIJA;grad;OGULIN;017;BIRAČKO MJESTO BR. 17;PROSTORIJE MJESNOG ODBORA DREŽNICA (IZNAD POŠTE);DREŽNICA 8;331;191;191;186;5;108;78
04;KARLOVAČKA ŽUPANIJA;grad;OGULIN;018;BIRAČKO MJESTO BR. 18;DOM SV. JAKOVA;SV. JAKOV BB;46;6;6;6;0;2;4
04;KARLOVAČKA ŽUPANIJA;grad;OGULIN;019;BIRAČKO MJESTO BR. 19;"DOM DOBROTVORNOG PODUPIRAJUĆEG DRUŠTVA ""SV. ROK"" U LOMOSTU";LOMOŠĆANSKA CESTA 19;75;24;24;24;0;8;16
04;KARLOVAČKA ŽUPANIJA;grad;OGULIN;020;BIRAČKO MJESTO BR. 20;DOM ŽELJEZNIČARA;SABORČANSKA 5;46;15;15;15;0;9;6
04;KARLOVAČKA ŽUPANIJA;grad;OGULIN;021;BIRAČKO MJESTO BR. 21;"SPORTSKA DVORANA ""IVICA CINDRIĆ - PIVA""";J.B. JELAČIĆA 1 A;118;23;23;23;0;17;6
04;KARLOVAČKA ŽUPANIJA;grad;OGULIN;022;BIRAČKO MJESTO BR. 22;GIMNAZIJA I STRUKOVNA ŠKOLA BERNARDINA FRANKOPANA;STRUGA 3;149;46;46;46;0;22;24
