Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;AKCIJA UMIROVLJENICI ZAJEDNO - AUZ, HRVATSKA STRANKA UMIROVLJENIKA - HSU;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS;HRVATSKA STRANKA PRAVA - HSP;MOŽEMO! - POLITIČKA PLATFORMA, NOVA LJEVICA - NL, ZELENA ALTERNATIVA - ODRŽIVI RAZVOJ HRVATSKE - Zelena alternativa - ORaH;PROBUDI;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA SELJAČKA STRANKA - HSS, NARODNA STRANKA - REFORMISTI - REFORMISTI;ŽIVI ZID
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;001;BIRAČKO MJESTO BR. 1;MV TREND D.O.O. (NOVA TRŽNICA);TRG HRVATSKIH BRANITELJA 4;550;235;235;228;7;11;24;66;5;6;45;7;59;5
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;002;BIRAČKO MJESTO BR. 2;"GRADSKA KNJIŽNICA ""I.G.KOVAČIĆ""";LJ. ŠESTIĆA 1;1467;657;657;646;11;32;39;157;14;6;121;81;180;16
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;003;BIRAČKO MJESTO BR. 3;MV TREND D.O.O. (NOVA TRŽNICA);TRG HRVATSKIH BRANITELJA 4;585;265;265;257;8;12;21;74;2;5;42;5;84;12
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;004;BIRAČKO MJESTO BR. 4;VELEUČILIŠTE KARLOVAC;MEŠTROVIĆEVA 10;742;299;299;293;6;21;25;86;1;3;65;8;78;6
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;005;BIRAČKO MJESTO BR. 5;VELEUČILIŠTE KARLOVAC;MEŠTROVIĆEVA 10;1525;698;697;672;25;35;44;205;7;13;131;18;192;27
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;006;BIRAČKO MJESTO BR. 6;OSNOVNA ŠKOLA GRABRIK;BARTOLA KAŠIĆA 15;1209;535;535;516;19;44;36;125;9;7;112;17;154;12
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;007;BIRAČKO MJESTO BR. 7;OSNOVNA ŠKOLA GRABRIK;BARTOLA KAŠIĆA 15;1139;475;475;454;21;31;31;129;7;11;100;12;122;11
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;008;BIRAČKO MJESTO BR. 8;OSNOVNA ŠKOLA GRABRIK;BARTOLA KAŠIĆA 15;1378;566;566;553;13;20;49;193;8;6;134;15;117;11
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;009;BIRAČKO MJESTO BR. 9;GRADSKA ČETVRT ZVIJEZDA;BANJAVČIĆEVA 8 (ČITAONICA);397;163;163;154;9;10;11;53;4;2;32;1;38;3
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;010;BIRAČKO MJESTO BR 10;EKONOMSKA ŠKOLA KARLOVAC;KURELČEVA 2;417;183;183;176;7;9;11;47;1;2;55;8;38;5
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;011;BIRAČKO MJESTO BR. 11;PROSTORIJE TVRTKI VODOVOD I KANALIZACIJA D.O.O I ČISTOĆA D.O.O.;GAŽANSKI TRG 8 (U PRIZEMLJU);356;123;123;120;3;5;5;35;2;0;29;2;38;4
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;012;BIRAČKO MJESTO BR. 12;PROSTORIJE G.Č. GAZA;GAŽANSKI TRG 11;846;334;334;319;15;17;35;95;7;3;56;7;94;5
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;013;BIRAČKO MJESTO BR. 13;PROSTORIJE PRIRODOSLOVNE ŠKOLE KARLOVAC;STJEPANA MIHALIĆA 43;454;171;171;164;7;17;17;57;2;4;19;4;39;5
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;014;BIRAČKO MJESTO BR. 14;PROSTORIJE MJESNOG ODBORA GRADAC;GRADAC 31;349;153;153;148;5;8;25;64;3;2;13;5;26;2
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;015;BIRAČKO MJESTO BR. 15;PROSTORIJE MJESNOG ODBORA ORLOVAC;REČIČKA 55;716;298;298;284;14;19;24;187;11;2;15;3;19;4
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;016;BIRAČKO MJESTO BR. 16;DRUŠTVENI DOM HUSJE;HUSJE 29 B;148;97;97;96;1;2;17;67;1;1;3;1;2;2
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;017;BIRAČKO MJESTO BR. 17;VATROGASNI DOM DVD POKUPSKI KOBILIĆ;KOBILIĆ POKUPSKI 29 A;35;22;22;22;0;2;3;10;0;0;0;3;3;1
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;018;BIRAČKO MJESTO BR. 18;PROSTORIJE MO POKUPSKA DOLINA;DONJE MEKUŠJE 33 A;176;119;119;115;4;7;7;76;3;2;8;2;9;1
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;019;BIRAČKO MJESTO BR. 19;PROSTORIJE DRUŠTVENOG DOMA VODOSTAJ;VODOSTAJ 42 C;227;120;120;118;2;5;4;77;2;3;8;0;18;1
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;020;BIRAČKO MJESTO BR. 20;DRUŠTVENI DOM ČURJACI;VODOSTAJ 140 B;51;24;24;23;1;1;0;9;0;0;0;0;12;1
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;021;BIRAČKO MJESTO BR. 21;PROSTORIJE MO REČICA;POKUPSKA LUKA  9;313;101;101;99;2;3;18;54;4;1;7;1;9;2
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;022;BIRAČKO MJESTO BR. 22;DRUŠTVENI DOM KARASI;KARASI 13 A;53;37;37;35;2;2;3;24;1;0;0;0;4;1
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;023;BIRAČKO MJESTO BR. 23;"PROSTORIJE ""ZUK"" ZAMRŠJE";ZAMRŠJE 30 B;144;75;75;73;2;1;10;46;1;0;5;0;10;0
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;024;BIRAČKO MJESTO BR. 24;PROSTORIJE ZDRAVSTVENE AMB.REČICA;REČICA 47 B;271;168;168;160;8;6;12;120;2;1;2;3;13;1
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;025;BIRAČKO MJESTO BR. 25;VATROGASNI DOM DVD DONJA REČICA;REČICA 166;164;92;92;86;6;1;8;63;2;3;4;0;3;2
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;026;BIRAČKO MJESTO BR. 26;VATROGASNI DOM DVD KORITINJA;KORITINJA 23 A;131;70;70;67;3;2;5;47;0;1;4;1;7;0
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;027;BIRAČKO MJESTO BR. 27;PROSTORIJE MO ŠIŠLJAVIĆ;ŠIŠLJAVIĆ 67;407;186;186;175;11;2;18;130;2;4;2;3;11;3
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;028;BIRAČKO MJESTO BR. 28;DRUŠTVENI DOM RIBARI;RIBARI 29 A;123;106;106;104;2;1;7;91;0;0;2;0;2;1
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;029;BIRAČKO MJESTO BR. 29;VATROGASNI DOM DVD BROĐANI;BROĐANI 38 A;30;21;21;21;0;0;2;18;0;0;0;1;0;0
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;030;BIRAČKO MJESTO BR. 30;"LOVAČKI DOM ""LISICA""";BREŽANI 9 A;101;71;71;70;1;1;6;57;1;2;0;0;2;1
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;031;BIRAČKO MJESTO BR. 31;GIMNAZIJA KARLOVAC;RAKOVAC 4;1185;449;449;441;8;25;45;135;10;11;98;13;96;8
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;032;BIRAČKO MJESTO BR. 32;EKONOMSKA ŠKOLA KARLOVAC;KURELČEVA 2;231;103;103;98;5;5;4;13;3;0;35;1;34;3
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;033;BIRAČKO MJESTO BR. 33;PROSTORIJE GRADSKE ČETVRTI RAKOVAC;DOMOBRANSKA 20 C;1230;578;575;552;23;15;53;166;12;15;139;10;129;13
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;034;BIRAČKO MJESTO BR. 34;GIMNAZIJA KARLOVAC;RAKOVAC 4;506;207;207;200;7;6;17;47;4;10;50;3;60;3
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;035;BIRAČKO MJESTO BR. 35;PROSTORIJE MO LOGORIŠTE;LOGORIŠTE 38;320;154;154;152;2;11;13;69;5;2;20;2;29;1
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;036;BIRAČKO MJESTO BR. 36;PROSTORIJE MO MALA ŠVARČA;MALA ŠVARČA 84;691;290;290;282;8;12;37;112;7;9;45;4;48;8
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;037;BIRAČKO MJESTO BR. 37;PROSTORIJE GČ ŠVARČA;TRG SV.FRANJE KSAVERSKOG 2;915;394;394;381;13;17;37;134;14;8;70;7;86;8
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;038;BIRAČKO MJESTO BR. 38;PROSTORIJE GČ ŠVARČA;TRG SV.FRANJE KSAVERSKOG 2;1815;657;655;638;17;27;81;219;12;13;133;10;135;8
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;039;BIRAČKO MJESTO BR. 39;PROSTORIJE GČ LUŠČIĆ-JAMADOL;MEDOVIĆEVA 5 C;1075;476;476;464;12;20;30;141;9;1;120;22;111;10
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;040;BIRAČKO MJESTO BR. 40;PROSTORIJE GČ LUŠČIĆ-JAMADOL;MEDOVIĆEVA 5 C;1178;484;484;465;19;19;42;134;11;9;86;29;124;11
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;041;BIRAČKO MJESTO BR. 41;ŠPORTSKA STRELJANA;JAMADOLSKA 2 A;844;389;389;379;10;16;36;138;7;5;65;12;91;9
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;042;BIRAČKO MJESTO BR. 42;MO LADVENJAK-DOM SELIŠĆE;LADVENJAK 56 B;163;72;72;72;0;2;10;38;1;3;7;2;8;1
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;043;BIRAČKO MJESTO BR. 43;DRUŠTVENI DOM LADVENJAK;LADVENJAK 101 B;177;52;52;51;1;2;9;24;6;0;3;0;7;0
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;044;BIRAČKO MJESTO BR. 44;OSNOVNA ŠKOLA TUŠILOVIĆ;TUŠILOVIĆ 58;788;247;247;230;17;11;11;150;7;4;16;2;24;5
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;045;BIRAČKO MJESTO BR. 45;PROSTORIJE GRADSKE ČETVRTI MOSTANJE;MOSTANJE 94;515;212;212;207;5;9;15;64;7;2;47;2;59;2
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;046;BIRAČKO MJESTO BR. 46;PROSTORIJE GRADSKE ČETVRTI MOSTANJE-KUD-A MOSTANJE;MOSTANJE 94;555;244;244;227;17;18;21;102;6;3;33;5;37;2
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;047;BIRAČKO MJESTO BR. 47;PRIVATNA KUĆA ŽELJKA STAVLJENIĆA;JELAŠI 74;356;145;145;142;3;8;20;63;3;4;23;2;15;4
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;048;BIRAČKO MJESTO BR. 48;DRUŠTVENI DOM TURANJSKI GOLJAKI;TURANJSKI GOLJAKI;262;108;108;104;4;2;17;55;1;2;12;1;12;2
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;049;BIRAČKO MJESTO BR. 49;DRUŠTVENI DOM ZASTINJA;ZASTINJA 11;125;77;77;76;1;0;5;58;1;1;3;0;6;2
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;050;BIRAČKO MJESTO BR. 50;PROSTORIJE GČ TURANJ;BRAĆE GOJAK 4;1179;441;441;428;13;18;68;157;14;7;56;11;83;14
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;051;BIRAČKO MJESTO BR. 51;PROSTORIJE GČ TURANJ,PROSTORIJA SAJEVAC;BRAĆE GOJAK 111;483;138;138;133;5;5;13;66;8;5;14;2;15;5
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;052;BIRAČKO MJESTO BR. 52;PROSTORIJE MO KAMENSKO;KAMENSKO 73 B;411;195;195;187;8;7;25;84;14;6;10;5;26;10
04;KARLOVAČKA ŽUPANIJA;grad;KARLOVAC;053;BIRAČKO MJESTO BR. 53;PROSTORIJE MO GORNJE MEKUŠJE;MEKUŠANSKA CESTA 63;417;181;181;172;9;8;20;77;1;1;21;6;32;6
