Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA STRANKA UMIROVLJENIKA - HSU;HRVATSKA STRANKA PRAVA - HSP;KANDIDACIJSKA LISTA GRUPE BIRAČA -  GORDANA LIPŠINIĆ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP;KANDIDACIJSKA LISTA GRUPE BIRAČA -  DAMIR VERGOT
04;KARLOVAČKA ŽUPANIJA;grad;OZALJ;001;BIRAČKO MJESTO BR. 1 KURILOVAC;GRADSKA VIJEĆNICA;KURILOVAC 1;831;476;475;466;9;124;16;27;110;167;22
04;KARLOVAČKA ŽUPANIJA;grad;OZALJ;002;BIRAČKO MJESTO BR. 2 ZAJAČKO SELO;VATROGASNI DOM;ZAJAČKO SELO;331;221;221;219;2;87;0;14;76;39;3
04;KARLOVAČKA ŽUPANIJA;grad;OZALJ;003;BIRAČKO MJESTO BR. 3 OZALJ GRAD;OZALJ GRAD;ZRINSKIH I FRANKOPANA 15;264;149;149;147;2;28;3;3;44;65;4
04;KARLOVAČKA ŽUPANIJA;grad;OZALJ;004;BIRAČKO MJESTO BR. 4 MALI ERJAVEC;MO MALI ERJAVEC;MALI ERJAVEC;394;178;178;173;5;42;12;9;23;62;25
04;KARLOVAČKA ŽUPANIJA;grad;OZALJ;005;BIRAČKO MJESTO BR. 5 GRDUN;MO GRDUN;GRDUN;108;55;55;55;0;32;0;2;16;5;0
04;KARLOVAČKA ŽUPANIJA;grad;OZALJ;006;BIRAČKO MJESTO BR. 6 TOMAŠNICA;KUĆA STJEPANA DUMEŠIĆA;TOMAŠNICA 19;119;63;63;62;1;17;2;1;18;24;0
04;KARLOVAČKA ŽUPANIJA;grad;OZALJ;007;BIRAČKO MJESTO BR. 7 JAŠKOVO;MO JAŠKOVO;JAŠKOVO;374;167;167;162;5;62;9;5;35;45;6
04;KARLOVAČKA ŽUPANIJA;grad;OZALJ;008;BIRAČKO MJESTO BR. 8 NOVAKI OZALJSKI;VATROGASNI DOM DVORIŠĆE;OZALJSKI NOVAKI;141;64;64;62;2;18;6;1;13;22;2
04;KARLOVAČKA ŽUPANIJA;grad;OZALJ;009;BIRAČKO MJESTO BR. 9 FRATROVCI;KUĆA JOSIPA MRLJAKA;FRATROVCI  21;34;13;13;13;0;0;4;0;0;9;0
04;KARLOVAČKA ŽUPANIJA;grad;OZALJ;010;BIRAČKO MJESTO BR. 10 SVETIČKO HRAŠĆE;LOVAČKI DOM;SVETIČKO HRAŠĆE;121;63;63;62;1;11;1;1;26;23;0
04;KARLOVAČKA ŽUPANIJA;grad;OZALJ;011;BIRAČKO MJESTO BR. 11 POLICE;ŠKOLA POLICE;POLICE;199;82;82;80;2;17;14;1;12;33;3
04;KARLOVAČKA ŽUPANIJA;grad;OZALJ;012;BIRAČKO MJESTO BR. 12 VIVODINA;MO VIVODINA;VIVODINA;323;201;201;199;2;102;3;5;15;20;54
04;KARLOVAČKA ŽUPANIJA;grad;OZALJ;013;BIRAČKO MJESTO BR. 13 OBREŽ VIVODINSKI;VATROGASNI DOM;OBREŽ VIVODINSKI;155;78;78;78;0;19;0;6;13;31;9
04;KARLOVAČKA ŽUPANIJA;grad;OZALJ;014;BIRAČKO MJESTO BR. 14 DOJUTROVICA;VATROGASNI DOM;DOJUTROVICA;51;30;30;30;0;4;2;1;5;18;0
04;KARLOVAČKA ŽUPANIJA;grad;OZALJ;015;BIRAČKO MJESTO BR. 15 STOJAVNICE;KUĆA JANKA KOSTELCA;SRŠIĆI 6;44;24;24;24;0;7;1;2;2;5;7
04;KARLOVAČKA ŽUPANIJA;grad;OZALJ;016;BIRAČKO MJESTO BR. 16 PODBREŽJE;ŠKOLA PODBREŽJE;PODBREŽJE;252;125;125;117;8;34;2;4;26;44;7
04;KARLOVAČKA ŽUPANIJA;grad;OZALJ;017;BIRAČKO MJESTO BR. 17 LOVIĆ PREKRIŠKI;VATROGASNI DOM;LOVIĆ PREKRIŠKI;58;38;38;36;2;5;0;26;2;0;3
04;KARLOVAČKA ŽUPANIJA;grad;OZALJ;018;BIRAČKO MJESTO BR. 18 VRHOVAC;VATROGASNI DOM;VRHOVAC;429;211;211;206;5;57;4;10;58;73;4
04;KARLOVAČKA ŽUPANIJA;grad;OZALJ;019;BIRAČKO MJESTO BR. 19 TRG;ŠKOLA TRG;TRG;176;82;82;80;2;44;3;3;8;22;0
04;KARLOVAČKA ŽUPANIJA;grad;OZALJ;020;BIRAČKO MJESTO BR. 20 POLJE OZALJSKO;DOM ŠLJUNČARA;POLJE OZALJSKO;242;110;110;106;4;66;3;0;7;29;1
04;KARLOVAČKA ŽUPANIJA;grad;OZALJ;021;BIRAČKO MJESTO BR. 21 ZORKOVAC;ŠKOLA ZORKOVAC;ZORKOVAC;174;86;86;85;1;31;2;8;8;23;13
04;KARLOVAČKA ŽUPANIJA;grad;OZALJ;022;BIRAČKO MJESTO BR. 22 ZORKOVAC NA KUPI;KUĆA BRANKA KOSMAČA;ZORKOVAC NA KUPI 18;91;53;53;52;1;29;1;0;8;11;3
04;KARLOVAČKA ŽUPANIJA;grad;OZALJ;023;BIRAČKO MJESTO BR. 23 LEVKUŠJE;VATROGASNI DOM;LEVKUŠJE;155;69;69;66;3;20;1;3;12;24;6
04;KARLOVAČKA ŽUPANIJA;grad;OZALJ;024;BIRAČKO MJESTO BR. 24 GORNJE POKUPJE;KUĆA VESNE SEVERINSKI;GORNJE POKUPJE 30;139;63;63;60;3;18;2;6;11;15;8
04;KARLOVAČKA ŽUPANIJA;grad;OZALJ;025;BIRČKO MJESTO BROJ 25 RADATOVIĆI;VATROGASNI DOM;RADATOVIĆI;159;48;48;48;0;4;1;0;7;33;3
04;KARLOVAČKA ŽUPANIJA;grad;OZALJ;026;BIRAČKO MJESTO BROJ 26 KAŠT;VATROGASNI DOM;KAŠT;98;45;45;44;1;6;2;1;10;20;5
