Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;MARIJAN PERETIĆ;DAVOR RESOVAC
04;KARLOVAČKA ŽUPANIJA;općina;NETRETIĆ;001;BIRAČKO MJESTO BR. 1;"ZGRADA OSNOVNE ŠKOLE ""NETRETIĆ"" - PRIZEMLJE";NETRETIĆ 1;109;61;61;61;0;26;35
04;KARLOVAČKA ŽUPANIJA;općina;NETRETIĆ;002;BIRAČKO MJESTO BR. 2;KUĆA TOMISLAVA MOŠKUN;ZAVRŠJE NETRETIĆKO 15A;59;29;29;29;0;18;11
04;KARLOVAČKA ŽUPANIJA;općina;NETRETIĆ;003;BIRAČKO MJESTO BR. 3;KUĆA DRAGUTINA KUŠAN;BRAJAKOVO BRDO 53;107;58;58;54;4;23;31
04;KARLOVAČKA ŽUPANIJA;općina;NETRETIĆ;004;BIRAČKO MJESTO BR. 4;ZGRADA PODRUČNE ŠKOLE DONJE STATIVE;DONJE STATIVE 1;185;84;84;82;2;56;26
04;KARLOVAČKA ŽUPANIJA;općina;NETRETIĆ;005;BIRAČKO MJESTO BR. 5;KUĆA ROŽIĆ PEPE;LONČAR BRDO 3;48;35;35;33;2;18;15
04;KARLOVAČKA ŽUPANIJA;općina;NETRETIĆ;006;BIRAČKO MJESTO BR. 6;VATROGASNI DOM KUNIĆI;KUNIĆI RIBNIČKI 26A;75;42;42;42;0;29;13
04;KARLOVAČKA ŽUPANIJA;općina;NETRETIĆ;007;BIRAČKO MJESTO BR. 7;VATROGASNI DOM PRILIŠĆE;SREDNJE PRILIŠĆE 4;167;91;91;84;7;70;14
04;KARLOVAČKA ŽUPANIJA;općina;NETRETIĆ;008;BIRAČKO MJESTO BR. 8;DOM KULTURE VUKOVA GORICA;VUKOVA GORICA 26;52;33;33;33;0;28;5
04;KARLOVAČKA ŽUPANIJA;općina;NETRETIĆ;009;BIRAČKO MJESTO BR. 9;KUĆA NIKOLE MARKUŠ;VINSKI VRH 7A;68;48;48;48;0;17;31
04;KARLOVAČKA ŽUPANIJA;općina;NETRETIĆ;010;BIRAČKO MJESTO BR. 10;ZGRADA MO KUČEVICE KOD KRIŽA;KUČEVICE BB;87;49;49;49;0;26;23
04;KARLOVAČKA ŽUPANIJA;općina;NETRETIĆ;011;BIRAČKO MJESTO BR. 11;ZGRADA PODRUČNE ŠKOLE NOVIGRAD;NOVIGRAD NA DOBRI 19;213;130;130;122;8;74;48
04;KARLOVAČKA ŽUPANIJA;općina;NETRETIĆ;012;BIRAČKO MJESTO BR. 12;ZGRADA PODRUČNE ŠKOLE JARČE POLJE;JARČE POLJE 18;257;111;111;108;3;79;29
04;KARLOVAČKA ŽUPANIJA;općina;NETRETIĆ;013;BIRAČKO MJESTO BR. 13;ZGRADA PODRUČNE ŠKOLE DUBRAVCI;DUBRAVČANI 50;377;209;209;205;4;102;103
04;KARLOVAČKA ŽUPANIJA;općina;NETRETIĆ;014;BIRAČKO MJESTO BR. 14;ZGRADA DRUŠTVENOG DOMA MRAČIN;MRAČIN 65;217;116;116;114;2;61;53
04;KARLOVAČKA ŽUPANIJA;općina;NETRETIĆ;015;BIRAČKO MJESTO BR. 15;DRUŠTVENI DOM SKUPICA;SKUPICA 36;160;78;78;75;3;40;35
04;KARLOVAČKA ŽUPANIJA;općina;NETRETIĆ;016;BIRAČKO MJESTO BR. 16;ZGRADA PODRUČNE ŠKOLE ZAGRADCI;ZAGRADCI 69;183;96;96;94;2;66;28
